panel,record,series,x,y,x_unit,y_unit,evidence_class,formula_source,method
A,a-orbit-0186,Gamma,0.98218398993983336,0.64496402824276311,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0187,Gamma,0.98672701447948552,0.64269912399229334,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0188,Gamma,0.99128605157437522,0.64045915324407887,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0189,Gamma,0.99586097623619763,0.63824399164545398,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0190,Gamma,1.0004516630410822,0.63605351545500821,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0191,Gamma,1.0050579861330311,0.63388760156539825,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0192,Gamma,1.0096798192273697,0.63174612752550074,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0193,Gamma,1.0143170356142097,0.62962897156191744,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0194,Gamma,1.0189695081619206,0.62753601259984615,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0195,Gamma,1.0236371093206178,0.62546713028333156,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0196,Gamma,1.0283197111256577,0.62342220499490797,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0197,Gamma,1.033017185201146,0.62140111787464691,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
A,a-orbit-0198,Gamma,1.0377294027634585,0.61940375083862087,radian,radian,analytic exact level set,"core 7355c01d, equations (S.445)-(S.475)",closed level-set parametrization
