r,M,target,y,absoluteY,sign,absoluteYOverM,observedBlockGrowth,classification
67,474284397516047136454946754595585670566993857190463750305618264096412179005177856,63237919668806284860659567279411422742265847625395166707415768546188290534023714,-37473901975753875585205152770476318299072152447843543745602063054434160214046184505837606430,37473901975753875585205152770476318299072152447843543745602063054434160214046184505837606430,-1,79011458466.7229,23.2686974835456,exact recurrence value
68,7588550360256754183279148073529370729071901715047420004889892225542594864082845696,1011806714700900557770553076470582763876253562006322667318652296739012648544379426,-942528193246325378357314135664093259368802477318374305000845413153462337686399704417459410014,942528193246325378357314135664093259368802477318374305000845413153462337686399704417459410014,-1,124203984753.477,23.2953389869632,exact recurrence value
69,121416805764108066932466369176469931665150427440758720078238275608681517825325531136,16188907435214408924328849223529324222020056992101162677098436747824202376710070818,-23706082052436876470088917963204594803566474647025604368658773352557585111960178172707431467678,23706082052436876470088917963204594803566474647025604368658773352557585111960178172707431467678,-1,195245476136.917,23.3212374623535,exact recurrence value
70,1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,259022518963430542789261587576469187552320911873618602833574987965187238027361133090,-596245640504889018510814571728858426480213865873494536339670688841144248152899417834907948480734,596245640504889018510814571728858426480213865873494536339670688841144248152899417834907948480734,-1,306920877196.817,23.3464235512987,exact recurrence value
71,31082702275611665134711390509176302506278509424834232340028998555822468563283335970816,4144360303414888684628185401223507000837134589977897645337199807442995808437778129442,-14996525492251017242985228147964404961287334502529569153454700303244696931101223438331844362149662,14996525492251017242985228147964404961287334502529569153454700303244696931101223438331844362149662,-1,482471741333.047,23.3709262342391,exact recurrence value
72,497323236409786642155382248146820840100456150797347717440463976893159497012533375533056,66309764854638218954050966419576112013394153439646362325395196919087932935004450071074,-377186450619861926963218754566238876545020463053135190962333685318136084821366467903484598805019998,377186450619861926963218754566238876545020463053135190962333685318136084821366467903484598805019998,-1,758433193958.116,23.3947729414783,exact recurrence value
73,7957171782556586274486115970349133441607298412757563479047423630290551952200534008528896,1060956237674211503264815462713217792214306455034341797206323150705406926960071201137186,-9486838708384207858240714775367644592826211502094030104598387888101044567323790966751821689161634718,9486838708384207858240714775367644592826211502094030104598387888101044567323790966751821689161634718,-1,1192237514487.36,23.4179896554088,exact recurrence value
74,127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,16975299802787384052237047403411484675428903280549468755301170411286510831361139218194978,-238609071272235042607343505422781468320292598427919058724412326255712939943445280398044983649901437406,238609071272235042607343505422781468320292598427919058724412326255712939943445280398044983649901437406,-1,1874166772069.26,23.4406010047572,exact recurrence value
75,2037035976334486086268445688409378161051468393665936250636140449354381299763336706183397376,271604796844598144835792758454583754806862452488791500084818726580584173301778227491119650,-6001397372032176491951510899468670871951423013744158515924737735807225280954925889059712552260014762014,6001397372032176491951510899468670871951423013744158515924737735807225280954925889059712552260014762014,-1,2946142062169.81,23.4626303515666,exact recurrence value
76,32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,4345676749513570317372684135273340076909799239820664001357099625289346772828451639857914402,-150944682132134406222602431851631647690463132510232272529726707241382592957758038374386806690975197128286,150944682132134406222602431851631647690463132510232272529726707241382592957758038374386806690975197128286,-1,4631259704226.9,23.4840998715598,exact recurrence value
77,521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,69530827992217125077962946164373441230556787837130624021713594004629548365255226237726630434,-3796498657154337939446363810328346519561233802228349409114929543327278867233468234194787143679880683838622,3796498657154337939446363810328346519561233802228349409114929543327278867233468234194787143679880683838622,-1,7280221386268.73,23.5050306284637,exact recurrence value
78,8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096,1112493247875474001247407138629975059688908605394089984347417504074072773844083619803626086946,-95487975132220258935429285295748800104513840180888620114080314280454077629894294001649663991258573239962334,95487975132220258935429285295748800104513840180888620114080314280454077629894294001649663991258573239962334,-1,11444321160549.2,23.5254426428177,exact recurrence value
79,133499189745056880149688856635597007162669032647290798121690100488888732861290034376435130433536,17799891966007584019958514218079600955022537686305439749558680065185164381505337916858017391138,-2401674336870606728200382630193791850584528731025319575144391040102687726032582487867764561479277699483742494,2401674336870606728200382630193791850584528731025319575144391040102687726032582487867764561479277699483742494,-1,17990179127357.1,23.5453549557373,exact recurrence value
80,2135987035920910082395021706169552114602704522356652769947041607822219725780640550022962086936576,284798271456121344319336227489273615280360602980887035992938881042962630104085406669728278258210,-60405926635221789324435373646937909328139191566031278373060660248901530005416315390270056791439605001916976990,60405926635221789324435373646937909328139191566031278373060660248901530005416315390270056791439605001916976990,-1,28280099841139,23.5647856880593,exact recurrence value
81,34175792574734561318320347298712833833643272357706444319152665725155515612490248800367393390985216,4556772343297941509109379639828377844485769647694192575887022096687402081665366506715652452131362,-1519305060074991029772128937543459028640630725303036879532828337129850091170258310360923554765183863620755613086,1519305060074991029772128937543459028640630725303036879532828337129850091170258310360923554765183863620755613086,-1,44455591095733.1,23.5837520952541,exact recurrence value
82,546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456,72908357492767064145750074237254045511772314363107081214192353546998433306645864107450439234101794,-38212936944229073033632116391342580057841664205353487724354323719389859382856051696968507235262248302106283520990,38212936944229073033632116391342580057841664205353487724354323719389859382856051696968507235262248302106283520990,-1,69883048177789.5,23.6022706184533,exact recurrence value
83,8749002899132047697490008908470485461412677723572849745703082425639811996797503692894052708092215296,1166533719884273026332001187796064728188357029809713299427077656751974932906333825719207027745628706,-961116097271173625803389090275676269948174697719686816222451675951513118836448932304475039073271922611872721009182,961116097271173625803389090275676269948174697719686816222451675951513118836448932304475039073271922611872721009182,-1,109854358073938,23.6203569319109,exact recurrence value
84,139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736,18664539518148368421312019004737035651013712476955412790833242508031598926501341211507312443930059298,-24173597380959063247338949288997232331405755455421579328445654924461388533426119683415884625075043845593549406615646,24173597380959063247338949288997232331405755455421579328445654924461388533426119683415884625075043845593549406615646,-1,172688231302315,23.6380259871844,exact recurrence value
85,2239744742177804210557442280568444278121645497234649534899989100963791871180160945380877493271607115776,298632632290373894740992304075792570416219399631286604653331880128505582824021459384116999102880948770,-608004394053796798458896081649201765774783822014793466318303383556274223449597943465344697466631249441339286227414686,608004394053796798458896081649201765774783822014793466318303383556274223449597943465344697466631249441339286227414686,-1,271461467284262,23.6552920542972,exact recurrence value
86,35835915874844867368919076489095108449946327955754392558399825615420669938882575126094039892345713852416,4778122116645982315855876865212681126659510394100585674453310082056089325184343350145871985646095180322,-15292276832570377538856934366154825735358128105440294612471054324794844803250186061407156322283394332752773016200518878,15292276832570377538856934366154825735358128105440294612471054324794844803250186061407156322283394332752773016200518878,-1,426730459072900,23.6721687601203,exact recurrence value
87,573374653997517877902705223825521735199141247292070280934397209846730719022121202017504638277531421638656,76449953866335717053694029843402898026552166305609370791252961312897429202949493602333951770337522885154,-384625066876205748930063375136372293790779605169383453093717258177910560006795077182915764350882336660137818289404691230,384625066876205748930063375136372293790779605169383453093717258177910560006795077182915764350882336660137818289404691230,-1,670809328934639,23.6886691241906,exact recurrence value
88,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496,1223199261861371472859104477494446368424834660889749932660047381006358867247191897637343228325400366162466,-9673931729671678116295691182490298171000328244467633873440901902318231635239808221175928638362377833092357225120049717598,9673931729671678116295691182490298171000328244467633873440901902318231635239808221175928638362377833092357225120049717598,-1,1.05449504767802e+15,23.7048055921615,exact recurrence value
89,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,19571188189781943565745671639911141894797354574235998922560758096101741875955070362197491653206405858599458,-243314758110836831004224934150438376342133342080187137075556839627179236464607137811374926451064554799743059912781784872862,243314758110836831004224934150438376342133342080187137075556839627179236464607137811374926451064554799743059912781784872862,-1,1.65763914962758e+15,23.7205900670687,exact recurrence value
90,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,313139011036511097051930746238578270316757673187775982760972129537627870015281125795159866451302493737591330,-6119752874930023546909889990619868070232138639025526564615033068891971951414174881264168159749043749595644790201019332560350,6119752874930023546909889990619868070232138639025526564615033068891971951414174881264168159749043749595644790201019332560350,-1,2.60576619722265e+15,23.7360339385737,exact recurrence value
91,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616,5010224176584177552830891939817252325068122771004415724175554072602045920244498012722557863220839899801461282,-153921511136427293567965932569145496431659092530139297152790083917303632098929026113492169530230702059563397166753627744046110,153921511136427293567965932569145496431659092530139297152790083917303632098929026113492169530230702059563397166753627744046110,-1,4.09619758082672e+15,23.7511481103372,exact recurrence value
92,601226901190101306339707032778070279008174732520529886901066488712245510429339761526706943586500787976175353856,80163586825346840845294271037076037201089964336070651586808865161632734723911968203560925811533438396823380514,-3871370637787757816074587093104678513772513545716568046628011384106004197865847633919450977929506716158365235495750399487838814,3871370637787757816074587093104678513772513545716568046628011384106004197865847633919450977929506716158365235495750399487838814,-1,6.43911746151836e+15,23.7659430256604,exact recurrence value
93,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696,1282617389205549453524708336593216595217439429377130425388941842586123755582591491256974812984535014349174088226,-97371124441736484128752361430226606235722203815341561882442605929297891688707783160112805833870730717318392211017899721362964638,97371124441736484128752361430226606235722203815341561882442605929297891688707783160112805833870730717318392211017899721362964638,-1,1.01221273791345e+16,23.7804286915192,exact recurrence value
94,153914086704665934422965000391185991426092731525255651046673021110334850669910978950836977558144201721900890587136,20521878227288791256395333385491465523479030870034086806223069481377980089321463860111597007752560229586785411618,-2449038534958254019087427704319361950490741732543246486135157505207834608862504339202291055366914349290850246384746217478031273694,2449038534958254019087427704319361950490741732543246486135157505207834608862504339202291055366914349290850246384746217478031273694,-1,1.59117244392161e+16,23.7946147011103,exact recurrence value
95,2462625387274654950767440006258975862817483704404090416746768337765357610718575663213391640930307227550414249394176,328350051636620660102325334167863448375664493920545388899569111702047681429143421761785552124040963673388566585890,-61597211494659704767768665981974677382568988092633071238318595054317157555409609531317256852524045384525612365258215169188964914462,61597211494659704767768665981974677382568988092633071238318595054317157555409609531317256852524045384525612365258215169188964914462,-1,2.50128224182844e+16,23.8085102550123,exact recurrence value
96,39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306816,5253600826185930561637205346685815174010631902728726222393105787232762902866294748188568833984655418774217065374242,-1549267767639480332149150072987603746401972471702360028573485571314806655920189520781749580088878632080746746015300987820415774929758,1549267767639480332149150072987603746401972471702360028573485571314806655920189520781749580088878632080746746015300987820415774929758,-1,3.93195148469686e+16,23.8221241810634,exact recurrence value
97,630432099142311667396464641602297820881275828327447146687172694467931548343955369782628260078158650252906047844909056,84057613218974888986195285546973042784170110443659619558289692595724206445860715971017101343754486700387473045987874,-38966546660228469405213313925791397584209258286142789740277328286353198500381645112124756811187564706161896278306609652213196917213598,38966546660228469405213313925791397584209258286142789740277328286353198500381645112124756811187564706161896278306609652213196917213598,-1,6.18092681404414e+16,23.835464953042,exact recurrence value
98,10086913586276986678343434265636765134100413253239154346994763111486904773503285916522052161250538404046496765518544896,1344921811503598223779124568751568684546721767098553912932635081531587303133771455536273621500071787206199568735805986,-980070579366172675712731205900543272455905209123783118597999558800562601421383476212425087624576332259557488341256057447855960871884766,980070579366172675712731205900543272455905209123783118597999558800562601421383476212425087624576332259557488341256057447855960871884766,-1,9.71625830818593e+16,23.8485407082373,exact recurrence value
99,161390617380431786853494948250188242145606612051826469551916209783790476376052574664352834580008614464743948248296718336,21518748984057571580465993100025098952747548273576862606922161304505396850140343288580377944001148595299193099772895778,-24650332730652953482254579586915795867468755343482227269839095872034369181054938390570538334614581107066037397058364916047618148238892574,24650332730652953482254579586915795867468755343482227269839095872034369181054938390570538334614581107066037397058364916047618148238892574,-1,1.52737086769715e+17,23.8613592639822,exact recurrence value
100,2582249878086908589655919172003011874329705792829223512830659356540647622016841194629645353280137831435903171972747493376,344299983744921145287455889600401583243960772377229801710754580872086349602245492617286047104018377524787089596366332450,-619995045790345113645502512846250428033026645195662484883841818784717588120348711964193543232072024784923939753894089438535150376012864606,619995045790345113645502512846250428033026645195662484883841818784717588120348711964193543232072024784923939753894089438535150376012864606,-1,2.40098780157432e+17,23.8739281332225,exact recurrence value
