L,M,target,targetFraction,normalizedSignedRatio,cancellationConditionNumber,orderedQuarticPaths,classification
1,256,170,0.6640625,0.00028034012690864019,160.98552112820207,142290,finite long-double observation
1,256,171,0.66796875,0.00040018619146219849,113.94076639492485,142038,finite long-double observation
1,256,172,0.671875,0.00027062519972732445,170.21301380599482,141780,finite long-double observation
1,256,173,0.67578125,0.00033750435172693455,137.86442890019228,141516,finite long-double observation
1,256,174,0.6796875,0.00024721545693853037,190.09805187943246,141246,finite long-double observation
1,256,175,0.68359375,0.00042224511425345589,112.39879014778683,140970,finite long-double observation
1,256,176,0.6875,0.00035908529879764958,133.46061953467719,140688,finite long-double observation
1,256,177,0.69140625,0.00045896401821488226,105.42614529108823,140400,finite long-double observation
1,256,178,0.6953125,0.00033848182269302006,144.31774298469801,140106,finite long-double observation
1,256,179,0.69921875,0.00036368437469686151,135.58468679560656,139806,finite long-double observation
1,256,180,0.703125,0.00042071052011327686,118.29990295461202,139500,finite long-double observation
1,256,181,0.70703125,0.00035464203417600904,141.6323513191083,139188,finite long-double observation
1,256,182,0.7109375,0.00025003638195570266,202.7155113821938,138870,finite long-double observation
1,256,183,0.71484375,0.00039472212042667164,129.56538352324841,138546,finite long-double observation
1,256,184,0.71875,0.00024929852313762194,206.96833224359858,138216,finite long-double observation
1,256,185,0.72265625,0.00031891414285868132,163.20971629741774,137880,finite long-double observation
1,256,186,0.7265625,0.00032104867511040149,163.53030401972958,137538,finite long-double observation
1,256,187,0.73046875,0.00049421119026780047,107.14185466874979,137190,finite long-double observation
1,256,188,0.734375,0.00042959319454729953,124.29977178605559,136836,finite long-double observation
1,256,189,0.73828125,0.00035494950265053959,151.69477547159681,136476,finite long-double observation
1,256,190,0.7421875,0.00045725883456329466,118.72389506518653,136110,finite long-double observation
1,256,191,0.74609375,0.00042019984875310237,130.24499841948304,135738,finite long-double observation
1,256,192,0.75,0.00054860025795681693,100.56141580307178,135360,finite long-double observation
1,256,193,0.75390625,0.00041564559393233758,133.7791549291309,134976,finite long-double observation
