radiusOverOptimal,nearContribution,farContribution,totalBound
4.403013327202e-01,6.604519990804e-01,3.422748588242e+00,4.083200587323e+00
4.466835921510e-01,6.700253882264e-01,3.349654391578e+00,4.019679779805e+00
4.531583637601e-01,6.797375456401e-01,3.278121151393e+00,3.957858697034e+00
4.597269885309e-01,6.895904827963e-01,3.208115532824e+00,3.897706015620e+00
4.663908268844e-01,6.995862403267e-01,3.139604912884e+00,3.839191153211e+00
4.731512589615e-01,7.097268884422e-01,3.072557365267e+00,3.782284253710e+00
4.800096849081e-01,7.200145273622e-01,3.006941645465e+00,3.726956172828e+00
4.869675251659e-01,7.304512877488e-01,2.942727176209e+00,3.673178463958e+00
4.940262207659e-01,7.410393311488e-01,2.879884033220e+00,3.620923364369e+00
5.011872336273e-01,7.517808504409e-01,2.818382931264e+00,3.570163781705e+00
5.084520468601e-01,7.626780702901e-01,2.758195210507e+00,3.520873280797e+00
5.158221650723e-01,7.737332476085e-01,2.699292823154e+00,3.473026070763e+00
5.232991146815e-01,7.849486720222e-01,2.641648320386e+00,3.426596992408e+00
5.308844442310e-01,7.963266663465e-01,2.585234839562e+00,3.381561505909e+00
5.385797247106e-01,8.078695870659e-01,2.530026091705e+00,3.337895678771e+00
5.463865498819e-01,8.195798248228e-01,2.475996349250e+00,3.295576174073e+00
5.543065366084e-01,8.314598049125e-01,2.423120434053e+00,3.254580238966e+00
5.623413251903e-01,8.435119877855e-01,2.371373705662e+00,3.214885693447e+00
5.704925797046e-01,8.557388695569e-01,2.320732049829e+00,3.176470919386e+00
5.787619883491e-01,8.681429825237e-01,2.271171867280e+00,3.139314849803e+00
5.871512637925e-01,8.807268956888e-01,2.222670062708e+00,3.103396958397e+00
5.956621435290e-01,8.934932152935e-01,2.175204034020e+00,3.068697249313e+00
6.042963902381e-01,9.064445853572e-01,2.128751661796e+00,3.035196247154e+00
6.130557921498e-01,9.195836882247e-01,2.083291298990e+00,3.002874987215e+00
6.219421634148e-01,9.329132451222e-01,2.038801760833e+00,2.971715005956e+00
6.309573444802e-01,9.464360167203e-01,1.995262314969e+00,2.941698331689e+00
6.401032024709e-01,9.601548037064e-01,1.952652671787e+00,2.912807475493e+00
6.493816315762e-01,9.740724473643e-01,1.910952974970e+00,2.885025422335e+00
6.587945534419e-01,9.881918301629e-01,1.870143792243e+00,2.858335622406e+00
6.683439175686e-01,1.002515876353e+00,1.830206106311e+00,2.832721982664e+00
6.780317017152e-01,1.017047552573e+00,1.791121306005e+00,2.808168858577e+00
6.878599123088e-01,1.031789868463e+00,1.752871177602e+00,2.784661046065e+00
6.978305848599e-01,1.046745877290e+00,1.715437896343e+00,2.762183773633e+00
7.079457843841e-01,1.061918676576e+00,1.678804018123e+00,2.740722694699e+00
7.182076058302e-01,1.077311408745e+00,1.642952471362e+00,2.720263880107e+00
7.286181745132e-01,1.092927261770e+00,1.607866549053e+00,2.700793810822e+00
7.391796465555e-01,1.108769469833e+00,1.573529900971e+00,2.682299370804e+00
7.498942093325e-01,1.124841313999e+00,1.539926526059e+00,2.664767840058e+00
7.607640819263e-01,1.141146122889e+00,1.507040764969e+00,2.648186887859e+00
7.717915155850e-01,1.157687273378e+00,1.474857292764e+00,2.632544566142e+00
7.829787941891e-01,1.174468191284e+00,1.443361111777e+00,2.617829303061e+00
7.943282347243e-01,1.191492352086e+00,1.412537544623e+00,2.604029896709e+00
8.058421877615e-01,1.208763281642e+00,1.382372227358e+00,2.591135509000e+00
8.175230379437e-01,1.226284556915e+00,1.352851102787e+00,2.579135659702e+00
8.293732044796e-01,1.244059806719e+00,1.323960413910e+00,2.568020220630e+00
8.413951416452e-01,1.262092712468e+00,1.295686697517e+00,2.557779409985e+00
8.535913392914e-01,1.280387008937e+00,1.268016777907e+00,2.548403786844e+00
8.659643233601e-01,1.298946485040e+00,1.240937760752e+00,2.539884245792e+00
8.785166564073e-01,1.317774984611e+00,1.214437027089e+00,2.532212011700e+00
8.912509381337e-01,1.336876407201e+00,1.188502227437e+00,2.525378634638e+00
9.041698059235e-01,1.356254708885e+00,1.163121276044e+00,2.519375984929e+00
9.172759353898e-01,1.375913903085e+00,1.138282345254e+00,2.514196248339e+00
9.305720409297e-01,1.395858061395e+00,1.113973859995e+00,2.509831921389e+00
9.440608762859e-01,1.416091314429e+00,1.090184492385e+00,2.506275806814e+00
9.577452351172e-01,1.436617852676e+00,1.066903156455e+00,2.503521009131e+00
9.716279515771e-01,1.457441927366e+00,1.044119002981e+00,2.501560930346e+00
9.857119009006e-01,1.478567851351e+00,1.021821414426e+00,2.500389265777e+00
1.000000000000e+00,1.500000000000e+00,1.000000000000e+00,2.500000000000e+00
1.014495208069e+00,1.521742812103e+00,9.786445908077e-01,2.500387402911e+00
1.029200527194e+00,1.543800790792e+00,9.577452351172e-01,2.501546025909e+00
1.044119002981e+00,1.566178504471e+00,9.372921937194e-01,2.503470698190e+00
1.059253725177e+00,1.588880587766e+00,9.172759353898e-01,2.506156523156e+00
1.074607828321e+00,1.611911742482e+00,8.976871324473e-01,2.509598874929e+00
1.090184492385e+00,1.635276738578e+00,8.785166564073e-01,2.513793394985e+00
1.105986943436e+00,1.658980415153e+00,8.597555737275e-01,2.518735988881e+00
1.122018454302e+00,1.683027681453e+00,8.413951416452e-01,2.524422823098e+00
1.138282345254e+00,1.707423517881e+00,8.234268041030e-01,2.530850321984e+00
1.154781984689e+00,1.732172977034e+00,8.058421877615e-01,2.538015164796e+00
1.171520789832e+00,1.757281184747e+00,7.886330980974e-01,2.545914282845e+00
1.188502227437e+00,1.782753341156e+00,7.717915155850e-01,2.554544856741e+00
1.205729814514e+00,1.808594721771e+00,7.553095919586e-01,2.563904313729e+00
1.223207119050e+00,1.834810678575e+00,7.391796465555e-01,2.573990325130e+00
1.240937760752e+00,1.861406641128e+00,7.233941627367e-01,2.584800803864e+00
