dOverOptimal,production,dissipation,profit
0.64000000,2.862167011200e+00,1.920000000000e+00,9.421670111997e-01
0.65000000,2.895642943843e+00,1.950000000000e+00,9.456429438435e-01
0.66000000,2.928990364493e+00,1.980000000000e+00,9.489903644935e-01
0.67000000,2.962211702672e+00,2.010000000000e+00,9.522117026721e-01
0.68000000,2.995309306456e+00,2.040000000000e+00,9.553093064564e-01
0.69000000,3.028285446364e+00,2.070000000000e+00,9.582854463643e-01
0.70000000,3.061142319001e+00,2.100000000000e+00,9.611423190015e-01
0.71000000,3.093882050487e+00,2.130000000000e+00,9.638820504874e-01
0.72000000,3.126506699677e+00,2.160000000000e+00,9.665066996766e-01
0.73000000,3.159018261190e+00,2.190000000000e+00,9.690182611898e-01
0.74000000,3.191418668269e+00,2.220000000000e+00,9.714186682694e-01
0.75000000,3.223709795471e+00,2.250000000000e+00,9.737097954706e-01
0.76000000,3.255893461201e+00,2.280000000000e+00,9.758934612009e-01
0.77000000,3.287971430117e+00,2.310000000000e+00,9.779714301172e-01
0.78000000,3.319945415391e+00,2.340000000000e+00,9.799454153912e-01
0.79000000,3.351817080851e+00,2.370000000000e+00,9.818170808514e-01
0.80000000,3.383588043010e+00,2.400000000000e+00,9.835880430098e-01
0.81000000,3.415259872982e+00,2.430000000000e+00,9.852598729818e-01
0.82000000,3.446834098305e+00,2.460000000000e+00,9.868340983047e-01
0.83000000,3.478312204662e+00,2.490000000000e+00,9.883122046624e-01
0.84000000,3.509695637522e+00,2.520000000000e+00,9.896956375220e-01
0.85000000,3.540985803688e+00,2.550000000000e+00,9.909858036878e-01
0.86000000,3.572184072777e+00,2.580000000000e+00,9.921840727771e-01
0.87000000,3.603291778624e+00,2.610000000000e+00,9.932917786240e-01
0.88000000,3.634310220614e+00,2.640000000000e+00,9.943102206145e-01
0.89000000,3.665240664956e+00,2.670000000000e+00,9.952406649562e-01
0.90000000,3.696084345889e+00,2.700000000000e+00,9.960843458892e-01
0.91000000,3.726842466838e+00,2.730000000000e+00,9.968424668385e-01
0.92000000,3.757516201513e+00,2.760000000000e+00,9.975162015130e-01
0.93000000,3.788106694954e+00,2.790000000000e+00,9.981066949543e-01
0.94000000,3.818615064537e+00,2.820000000000e+00,9.986150645369e-01
0.95000000,3.849042400924e+00,2.850000000000e+00,9.990424009238e-01
0.96000000,3.879389768979e+00,2.880000000000e+00,9.993897689791e-01
0.97000000,3.909658208640e+00,2.910000000000e+00,9.996582086402e-01
0.98000000,3.939848735752e+00,2.940000000000e+00,9.998487357521e-01
0.99000000,3.969962342865e+00,2.970000000000e+00,9.999623428653e-01
1.00000000,4.000000000000e+00,3.000000000000e+00,1.000000000000e+00
1.01000000,4.029962655377e+00,3.030000000000e+00,9.999626553768e-01
1.02000000,4.059851236118e+00,3.060000000000e+00,9.998512361178e-01
1.03000000,4.089666648918e+00,3.090000000000e+00,9.996666489180e-01
1.04000000,4.119409780689e+00,3.120000000000e+00,9.994097806891e-01
1.05000000,4.149081499177e+00,3.150000000000e+00,9.990814991769e-01
1.06000000,4.178682653554e+00,3.180000000000e+00,9.986826535541e-01
1.07000000,4.208214074989e+00,3.210000000000e+00,9.982140749888e-01
1.08000000,4.237676577191e+00,3.240000000000e+00,9.976765771911e-01
1.09000000,4.267070956938e+00,3.270000000000e+00,9.970709569376e-01
1.10000000,4.296397994576e+00,3.300000000000e+00,9.963979945758e-01
