rankByGap,label,gapDecimal,gapSha256,isNearest,classification
80,"s=161,j=82",0.015145936410229838057,1674bbc6ab8b7381fbe54bdb3c9170dc7104a590bbfb8eee4cdc76a8e839d5f3,false,formal exact root-box upper-envelope gap
81,"s=159,j=81",0.015188003159435394254,6f25665a8e603365a136e39854d52d04736ae98b49f40f391ff5006a1e934a37,false,formal exact root-box upper-envelope gap
82,"s=160,j=83",0.029922726271796503855,0ef54943e0810465b5ad836ada4058a7fd09a07a72cdcf5059766fc825f5ea2c,false,formal exact root-box upper-envelope gap
83,"s=158,j=82",0.030146471909918099209,a1d9de17f925ea757b665bc7dfcab4fa8f16a5de39ec61fa5585e1d8aa0f0dd7,false,formal exact root-box upper-envelope gap
84,"s=156,j=81",0.030375877071425907135,bd6e80e55760c89a3bb3e03e5d82d9ad2f7618387b3a00f30bffb9e87c94b30f,false,formal exact root-box upper-envelope gap
85,"s=157,j=83",0.044740360389475271222,8aa0d9bffbe38b231b0c6301b2ed549abcdd89997b4302adb0e355007ab4fd41,false,formal exact root-box upper-envelope gap
86,"s=155,j=82",0.045146875660001707389,1caf33bf38da19758e926f3c44cb2378d43201706725a06859aaccec4f687d0a,false,formal exact root-box upper-envelope gap
87,"s=153,j=81",0.045563613998274275755,23ea82f17dfbb46e0874a709b56f66e5ebecdecac9d703665349b96fa18c71d4,false,formal exact root-box upper-envelope gap
88,"s=154,j=83",0.059557860190106392166,caba20ce3a96230d366a8d2823c1f7d3c446be155d4991255bbe61e6c0e03d06,false,formal exact root-box upper-envelope gap
89,"s=152,j=82",0.060147139720148665193,d849e08b588634ca827a44e29d0302c48fa75ecdb5124c4f81f024ad461358fe,false,formal exact root-box upper-envelope gap
90,"s=150,j=81",0.06075120557118765833,835b2d0b8b2438ccabbdffe4bf461b004856e76b399f9d13a712a156d9c2f88e,false,formal exact root-box upper-envelope gap
91,"s=151,j=83",0.074375217524019113582,857605f590d4c8f2c0c8622cc9551ac7a0a35432c109dacf78ccabcd6ffef7f7,false,formal exact root-box upper-envelope gap
92,"s=149,j=82",0.07514725549796591223,88b11d5e0b85c3de519ffd61400adfcf931cbd9907f9932965322b90dfd48f82,false,formal exact root-box upper-envelope gap
93,"s=147,j=81",0.075938642724510145064,fd6d55b2190b2c5e20be6d80f3a15c46d6ebf9a5b02facc2548eb5beaa0cd50b,false,formal exact root-box upper-envelope gap
94,"s=148,j=83",0.089192423567671604587,fc341a2ea5a6ad8fdef31da158b251475217c787a070f51f2a7eda22412fefdd,false,formal exact root-box upper-envelope gap
95,"s=146,j=82",0.090147213680570445722,67f0833c2135506d70f29978f9dd769d0dc6eefce11192442d33fa44511cddfc,false,formal exact root-box upper-envelope gap
96,"s=144,j=81",0.091125915621545118819,1bdb326ddf697c9a06a14c5e31850201c5a21ab6f693410d10740780ddc331c8,false,formal exact root-box upper-envelope gap
97,"s=145,j=83",0.10400946875243375006,79c5ed589d9a6da7a8d27e7d4d14d9477d89c3d0f633103044aba643c1851901,false,formal exact root-box upper-envelope gap
98,"s=143,j=82",0.10514700415734715002,7c56cb6cca5c208b20553a101a848fb29b73c2d5e3e25c852ccfaeda85ce80b9,false,formal exact root-box upper-envelope gap
99,"s=141,j=81",0.10631301357068390554,5477a6165d7d30db3c08e9e645a87ce880ee7deabd17f644d5e33a0c5c5a0656,false,formal exact root-box upper-envelope gap
100,"s=142,j=83",0.1188263426841311091,2490d0be61d0a18cc32b17512d12d6819439e422f025ca295bb808cf67f945d1,false,formal exact root-box upper-envelope gap
101,"s=140,j=82",0.1201466159325382504,76bdabe0753d94c3eb53d8a8d578137d3cf46a8ac8547e7b442daaac28096618,false,formal exact root-box upper-envelope gap
102,"s=138,j=81",0.121499924930327896,1416d9748cf9c136a70541ff66c4673c4b81c75f679ce38bb64feca887d0a30c,false,formal exact root-box upper-envelope gap
103,"s=139,j=83",0.13364303405191254762,6d0b366cc2b402bbec03ad1cc17c05c45516fef8e48c5bb443c97648a7376991,false,formal exact root-box upper-envelope gap
104,"s=137,j=82",0.13514603702605816758,c1a8bf6402805317b6b68df4581097681c525e8548757bc64cadb75e1c9cc530,false,formal exact root-box upper-envelope gap
105,"s=135,j=81",0.13668663700080667105,2b03f4e3fd722458a4974a813dbf25a26448f4b799a64953c038772cc6fe0d11,false,formal exact root-box upper-envelope gap
106,"s=136,j=83",0.14845953052444117984,54a83fb87e497cf8123dcba49b51c743787cc69efd2273c2e23a0c37c815b781,false,formal exact root-box upper-envelope gap
