figure_panel,record_type,record_id,order_index,family,edge,contour_kind,center_real,center_imag,half_real,half_imag,theta_center_pi,theta_half_pi,d_depth,d_index,d_lower,d_upper,lambda_depth,lambda_index,lambda_lower,lambda_upper,certified_bound_name,bound_raw,bound_midpoint,bound_radius,bound_lower_endpoint,threshold,strict_margin,upstream_path,upstream_sha256
C,overlap_cell,O-d00-lambda07,72,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,7,0.169625,0.17,overlapLower,[0.59349627493578723241146187309385755037962699736739027349879264301755743059622079 +/- 4.12e-81],0.59349627493578723241146187309385755037962699736739027349879264301755743059622079,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000412,0.59349627493578723241146187309385755037962699736739027349879264301755743059622078588,0.5,0.09349627493578723241146187309385755037962699736739027349879264301755743059622078588,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda08,73,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,8,0.17,0.170375,overlapLower,[0.59271353316982490603264682142878244977123356948437825665074230318126313594619160 +/- 5.03e-81],0.59271353316982490603264682142878244977123356948437825665074230318126313594619160,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000503,0.59271353316982490603264682142878244977123356948437825665074230318126313594619159497,0.5,0.09271353316982490603264682142878244977123356948437825665074230318126313594619159497,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda09,74,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,9,0.170375,0.17075,overlapLower,[0.59190550617991649155753048045871883427400400556212745382805379638395105128464939 +/- 6.31e-81],0.59190550617991649155753048045871883427400400556212745382805379638395105128464939,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000631,0.59190550617991649155753048045871883427400400556212745382805379638395105128464938369,0.5,0.09190550617991649155753048045871883427400400556212745382805379638395105128464938369,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda10,75,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,10,0.17075,0.171125,overlapLower,[0.59107255769514474482379282363853692410572243165915000992621977734884527646257442 +/- 3.52e-81],0.59107255769514474482379282363853692410572243165915000992621977734884527646257442,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000352,0.59107255769514474482379282363853692410572243165915000992621977734884527646257441648,0.5,0.09107255769514474482379282363853692410572243165915000992621977734884527646257441648,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda11,76,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,11,0.171125,0.1715,overlapLower,[0.59021505387557902079059461302992712117412652021434753767822854662143948442963214 +/- 3.83e-81],0.59021505387557902079059461302992712117412652021434753767822854662143948442963214,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000383,0.59021505387557902079059461302992712117412652021434753767822854662143948442963213617,0.5,0.09021505387557902079059461302992712117412652021434753767822854662143948442963213617,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda12,77,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,12,0.1715,0.171875,overlapLower,[0.58933336312807106765729647454805973789522667932306895360914584076086849201414645 +/- 4.24e-81],0.58933336312807106765729647454805973789522667932306895360914584076086849201414645,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000424,0.58933336312807106765729647454805973789522667932306895360914584076086849201414644576,0.5,0.08933336312807106765729647454805973789522667932306895360914584076086849201414644576,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda13,78,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,13,0.171875,0.17225,overlapLower,[0.58842785583524768294847180996577161372621632926166266026542514566685628419727389 +/- 5.13e-81],0.58842785583524768294847180996577161372621632926166266026542514566685628419727389,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000513,0.58842785583524768294847180996577161372621632926166266026542514566685628419727388487,0.5,0.08842785583524768294847180996577161372621632926166266026542514566685628419727388487,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda14,79,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,14,0.17225,0.172625,overlapLower,[0.58749890420402595578493661245348408404364486087741942476342685394890844183608636 +/- 6.01e-81],0.58749890420402595578493661245348408404364486087741942476342685394890844183608636,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000601,0.58749890420402595578493661245348408404364486087741942476342685394890844183608635399,0.5,0.08749890420402595578493661245348408404364486087741942476342685394890844183608635399,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d00-lambda15,80,overlap,,dyadic_rectangle,,,,,,,3,0,0,0.0002777777777777777777777777777777777777777777777777777777777777777777778,4,15,0.172625,0.173,overlapLower,[0.58654688199974944480997886864598188808693089253719443067293093978143297215624807 +/- 5.07e-81],0.58654688199974944480997886864598188808693089253719443067293093978143297215624807,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000507,0.58654688199974944480997886864598188808693089253719443067293093978143297215624806493,0.5,0.08654688199974944480997886864598188808693089253719443067293093978143297215624806493,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
C,overlap_cell,O-d01-lambda00,81,overlap,,dyadic_rectangle,,,,,,,3,1,0.0002777777777777777777777777777777777777777777777777777777777777777777778,0.0005555555555555555555555555555555555555555555555555555555555555555555556,4,0,0.167,0.167375,overlapLower,[0.59816667218082127255271582038601129895346091853661263618750820744145592460762258 +/- 6.05e-81],0.59816667218082127255271582038601129895346091853661263618750820744145592460762258,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000605,0.59816667218082127255271582038601129895346091853661263618750820744145592460762257395,0.5,0.09816667218082127255271582038601129895346091853661263618750820744145592460762257395,experiments/r073j/overlap_certificate.json,12e1505cacb807d83a611b96d5b928bd4302c9faef16030566d3e178234180ab
