x,phi,cRho,aboveThreshold
0.03,0.0347513750128653772168847670936,0.113083091627041126869487538794,0
0.031,0.0359407541799608897907809259968,0.113083091627041126869487538794,0
0.032,0.0371321333470564023646770848999,0.113083091627041126869487538794,0
0.033,0.038325512514151914938573243803,0.113083091627041126869487538794,0
0.034,0.0395208916812474275124694027061,0.113083091627041126869487538794,0
0.035,0.0407182708483429400863655616093,0.113083091627041126869487538794,0
0.036000000000000004,0.0419176500154384574617783888944,0.113083091627041126869487538794,0
0.037,0.0431190291825339652341578794155,0.113083091627041126869487538794,0
0.038,0.0443224083496294778080540383186,0.113083091627041126869487538794,0
0.039,0.0455277875167249903819501972217,0.113083091627041126869487538794,0
0.04,0.0467351666838205029558463561249,0.113083091627041126869487538794,0
0.041,0.047944545850916015529742515028,0.113083091627041126869487538794,0
0.042,0.0491559250180115281036386739311,0.113083091627041126869487538794,0
0.043000000000000003,0.0503693041851070443206723341208,0.113083091627041126869487538794,0
0.044,0.0515846833522025532514309917373,0.113083091627041126869487538794,0
0.045,0.0528020625192980658253271506405,0.113083091627041126869487538794,0
0.046,0.0540214416863935783992233095436,0.113083091627041126869487538794,0
0.047,0.0552428208534890909731194684467,0.113083091627041126869487538794,0
0.048,0.0564662000205846035470156273498,0.113083091627041126869487538794,0
0.049,0.057691579187680116120911786253,0.113083091627041126869487538794,0
0.05,0.0589189583547756286948079451561,0.113083091627041126869487538794,0
0.051000000000000004,0.0601483375218711461902207724412,0.113083091627041126869487538794,0
0.052000000000000005,0.0613797166889666600044960984399,0.113083091627041126869487538794,0
0.053,0.0626130958560621664164964218654,0.113083091627041126869487538794,0
0.054,0.0638484750231576789903925807686,0.113083091627041126869487538794,0
0.055,0.0650858541902531915642887396717,0.113083091627041126869487538794,0
0.056,0.0663252333573487041381848985748,0.113083091627041126869487538794,0
0.057,0.0675666125244442167120810574779,0.113083091627041126869487538794,0
0.058,0.068809991691539729285977216381,0.113083091627041126869487538794,0
0.059000000000000004,0.0700553708586352468453900436662,0.113083091627041126869487538794,0
0.06,0.0713027500257307544337695341873,0.113083091627041126869487538794,0
0.061,0.0725521291928262670076656930904,0.113083091627041126869487538794,0
0.062,0.0738035083599217795815618519935,0.113083091627041126869487538794,0
0.063,0.0750568875270172921554580108967,0.113083091627041126869487538794,0
0.064,0.0763122666941128047293541697998,0.113083091627041126869487538794,0
0.065,0.0775696458612083173032503287029,0.113083091627041126869487538794,0
0.066,0.078829025028303829877146487606,0.113083091627041126869487538794,0
0.067,0.0800904041953993424510426465091,0.113083091627041126869487538794,0
0.068,0.0813537833624948550249388054123,0.113083091627041126869487538794,0
0.069,0.0826191625295903675988349643154,0.113083091627041126869487538794,0
0.07,0.0838865416966858801727311232185,0.113083091627041126869487538794,0
0.07100000000000001,0.0851559208637814054504189530768,0.113083091627041126869487538794,0
0.07200000000000001,0.0864273000308769180443151119799,0.113083091627041126869487538794,0
0.073,0.0877006791979724178944195999279,0.113083091627041126869487538794,0
0.074,0.088976058365067930468315758831,0.113083091627041126869487538794,0
0.075,0.0902534375321634430422119177341,0.113083091627041126869487538794,0
0.076,0.0915328166992589556161080766372,0.113083091627041126869487538794,0
0.077,0.0928141958663544681900042355404,0.113083091627041126869487538794,0
0.078,0.0940975750334499807639003944435,0.113083091627041126869487538794,0
0.079,0.0953829542005454933377965533466,0.113083091627041126869487538794,0
0.08,0.0966703333676410059116927122497,0.113083091627041126869487538794,0
0.081,0.0979597125347365184855888711528,0.113083091627041126869487538794,0
0.082,0.099251091701832031059485030056,0.113083091627041126869487538794,0
0.083,0.100544470868927543633381188959,0.113083091627041126869487538794,0
0.084,0.101839850036023056207277347862,0.113083091627041126869487538794,0
0.085,0.103137229203118568781173506765,0.113083091627041126869487538794,0
0.08600000000000001,0.104436608370214094358861336624,0.113083091627041126869487538794,0
0.08700000000000001,0.105737987537309606952757495527,0.113083091627041126869487538794,0
0.088,0.107041366704405106502861983475,0.113083091627041126869487538794,0
0.089,0.108346745871500619076758142378,0.113083091627041126869487538794,0
0.09,0.109654125038596131650654301281,0.113083091627041126869487538794,0
0.091,0.110963504205691644224550460184,0.113083091627041126869487538794,0
0.092,0.112274883372787156798446619087,0.113083091627041126869487538794,0
0.093,0.11358826253988266937234277799,0.113083091627041126869487538794,1
0.094,0.114903641706978181946238936893,0.113083091627041126869487538794,1
