amplitude,minimumMean,pointwiseExcludedByUpperBand,j-2Mean,j-2StandardError,j-2Ci95Lower,j-2Ci95Upper,j0Mean,j0StandardError,j0Ci95Lower,j0Ci95Upper
0.01,-0.00188274383468704,True,-0.00188274383468704,8.462253932197498e-05,-0.002048604011758111,-0.001716883657615969,-1.61247643757388e-05,1.1128691150451583e-06,-1.830598784122731e-05,-1.3943540910250291e-05
0.01025,-0.00188111476606494,True,-0.00188111476606494,8.457011489598935e-05,-0.002046872191261079,-0.0017153573408688009,-1.6524356407235498e-05,1.140078573571375e-06,-1.8758910411435393e-05,-1.4289802403035602e-05
0.0105,-0.0018794832126270066,True,-0.0018794832126270066,8.451777377069477e-05,-0.0020451380492175686,-0.001713828376036445,-1.6923954953504643e-05,1.1672572861958697e-06,-1.921177923444855e-05,-1.4636130672560739e-05
0.010750000000000001,-0.0018778490946723787,True,-0.0018778490946723787,8.446551673211418e-05,-0.0020434015074673223,-0.0017122966818774348,-1.732357276935716e-05,1.1944051930586965e-06,-1.9664606947752206e-05,-1.4982538590962116e-05
0.011,-0.0018762123325001964,True,-0.0018762123325001964,8.441334457737544e-05,-0.0020416624878718524,-0.0017107621771285406,-1.7723222609603947e-05,1.221522234634634e-06,-2.011740618948783e-05,-1.5329039029720064e-05
0.01125,-0.0018745728464095992,True,-0.0018745728464095992,8.436125811521388e-05,-0.0020399209123154183,-0.00170922478050378,-1.8122917229055926e-05,1.2486083517404094e-06,-2.057018959846713e-05,-1.5675644859644722e-05
0.0115,-0.0018729305566997268,True,-0.0018729305566997268,8.430925816648787e-05,-0.002038176702706043,-0.0017076844106934106,-1.8522669382524016e-05,1.2756634855419513e-06,-2.102296981418624e-05,-1.6022368950861792e-05
0.01175,-0.001871285383669719,True,-0.001871285383669719,8.425734556470733e-05,-0.0020364297809765453,-0.0017061409863628925,-1.892249182481911e-05,1.3026875775616677e-06,-2.147575947683998e-05,-1.6369224172798243e-05
0.012,-0.001869637247618715,True,-0.001869637247618715,8.420552115657472e-05,-0.0020346800690856015,-0.0017045944261518285,-1.9322397310752145e-05,1.329680569685754e-06,-2.1928571227336222e-05,-1.6716223394168067e-05
0.01225,-0.0018679860688458547,True,-0.0018679860688458547,8.415378580253943e-05,-0.002032927489018832,-0.0017030446486728775,-1.9722398595134023e-05,1.3566424041715258e-06,-2.2381417707310213e-05,-1.7063379482957833e-05
0.0125,-0.0018663317676502775,True,-0.0018663317676502775,8.410214037736468e-05,-0.002031171962789912,-0.0017014915725106427,-2.0122508432775656e-05,1.3835730236547845e-06,-2.2834311559139035e-05,-1.7410705306412278e-05
0.012750000000000001,-0.0018646742643311234,True,-0.0018646742643311234,8.405058577070792e-05,-0.002029413412441711,-0.0016999351162205359,-2.0522739578487957e-05,1.4104723711572044e-06,-2.328726542595608e-05,-1.7758213731019836e-05
0.013000000000000001,-0.0018630134791875318,True,-0.0018630134791875318,8.399912288771371e-05,-0.002027651760047451,-0.001698375198327613,-2.092310478708184e-05,1.4373403900937557e-06,-2.37402919516656e-05,-1.8105917622498078e-05
0.01325,-0.0018613493325186417,True,-0.0018613493325186417,8.394775264962009e-05,-0.002025886927711897,-0.0016968117373253864,-2.132361681336822e-05,1.4641770242801491e-06,-2.4193403780957312e-05,-1.8453829845779127e-05
0.0135,-0.001859681744623594,True,-0.001859681744623594,8.389647599437794e-05,-0.0020241188375725748,-0.0016952446516746134,-2.1724288412157997e-05,1.4909822179403147e-06,-2.4646613559321013e-05,-1.8801963264994982e-05
0.01375,-0.0018580106358015277,True,-0.0018580106358015277,8.384529387728342e-05,-0.0020223474118010033,-0.0016936738598020522,-2.212513233826211e-05,1.5177559157139066e-06,-2.5099933933061368e-05,-1.915033074346285e-05
