panel,row_role,series,x_exact,exact_value,numeric_value,context
B,two-axis-frame-constant,theta=30deg,24/25,1/4 - sqrt(601)/100,0.0048469865573747429,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,97/100,1/4 - sqrt(9709)/400,0.003664354995059637,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,49/50,1/4 - sqrt(2451)/200,0.0024621241102687334,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=30deg,99/100,1/4 - sqrt(9901)/400,0.0012405780678850348,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,1/100,1/4 - sqrt(9703)/400,0.0037404824174302092,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,1/50,1/4 - sqrt(2353)/200,0.007461343287301931,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,3/100,1/4 - sqrt(9127)/400,0.011161665555966498,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,1/25,1/4 - sqrt(553)/100,0.01484047967390306,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,1/20,1/4 - 7*sqrt(7)/80,0.018496760281848323,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,3/50,1/4 - sqrt(2077)/200,0.022129422697883174,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,7/100,1/4 - sqrt(8047)/400,0.025737319199114182,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,2/25,1/4 - sqrt(487)/100,0.029319235092860892,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,9/100,1/4 - sqrt(7543)/400,0.032873884573964708,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,1/10,1/4 - sqrt(73)/40,0.036399906367061724,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,11/100,1/4 - sqrt(7063)/400,0.039895859155513073,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,3/25,1/4 - sqrt(427)/100,0.043360216802281755,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,13/100,1/4 - sqrt(6607)/400,0.046791363372518047,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,7/50,1/4 - sqrt(1597)/200,0.050187587973119147,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,3/20,1/4 - sqrt(247)/80,0.053547079431228613,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,4/25,1/4 - sqrt(373)/100,0.056867920841720342,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,17/100,1/4 - sqrt(5767)/400,0.060148084023363094,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,9/50,1/4 - sqrt(1393)/200,0.063385423934784774,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,19/100,1/4 - sqrt(5383)/400,0.066577673114748645,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,1/5,1/4 - sqrt(13)/20,0.069722436226800535,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,21/100,1/4 - sqrt(5023)/400,0.072817184806200808,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,11/50,1/4 - sqrt(1213)/200,0.07585925232732002,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,23/100,1/4 - sqrt(4687)/400,0.078845829732372572,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,6/25,1/4 - sqrt(283)/100,0.081773961587392779,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,1/4,1/4 - sqrt(7)/16,0.084640543058463094,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,13/50,1/4 - sqrt(1057)/200,0.087442317929911417,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,27/100,1/4 - sqrt(4087)/400,0.090175877915753905,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,7/25,1/4 - sqrt(247)/100,0.092837663544982893,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,29/100,1/4 - sqrt(3823)/400,0.095423966928892892,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,3/10,1/4 - sqrt(37)/40,0.097930936742544508,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,31/100,1/4 - sqrt(3583)/400,0.10035458577022816,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,8/25,1/4 - sqrt(217)/100,0.10269080137343764,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,33/100,1/4 - sqrt(3367)/400,0.10493535923595991,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,17/50,1/4 - sqrt(817)/200,0.10708394072043548,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,7/20,1/4 - sqrt(127)/80,0.10913215413019194,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,9/25,1/4 - sqrt(193)/100,0.11107556010550196,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,37/100,1/4 - sqrt(3007)/400,0.11290970129144805,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,19/50,1/4 - sqrt(733)/200,0.11463013629319116,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,39/100,1/4 - sqrt(2863)/400,0.11623247778328254,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,2/5,1/4 - sqrt(7)/20,0.11771243444677047,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,41/100,1/4 - sqrt(2743)/400,0.11906585624826502,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,21/50,1/4 - sqrt(673)/200,0.12028878228927152,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,43/100,1/4 - sqrt(2647)/400,0.12137749030593439,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,11/25,1/4 - sqrt(163)/100,0.12232854665196295,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,9/20,1/4 - sqrt(103)/80,0.12313885543634726,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,23/50,1/4 - 7*sqrt(13)/200,0.12380570535876037,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,47/100,1/4 - 19*sqrt(7)/400,0.12432681272443195,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,12/25,1/4 - sqrt(157)/100,0.12470035913858332,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,49/100,1/4 - sqrt(2503)/400,0.12492502248651012,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,1/2,1/8,0.125,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,51/100,1/4 - sqrt(2503)/400,0.12492502248651012,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,13/25,1/4 - sqrt(157)/100,0.12470035913858332,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,53/100,1/4 - 19*sqrt(7)/400,0.12432681272443195,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,27/50,1/4 - 7*sqrt(13)/200,0.12380570535876037,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,11/20,1/4 - sqrt(103)/80,0.12313885543634726,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,14/25,1/4 - sqrt(163)/100,0.12232854665196295,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,57/100,1/4 - sqrt(2647)/400,0.12137749030593439,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,29/50,1/4 - sqrt(673)/200,0.12028878228927152,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,59/100,1/4 - sqrt(2743)/400,0.11906585624826502,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,3/5,1/4 - sqrt(7)/20,0.11771243444677047,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,61/100,1/4 - sqrt(2863)/400,0.11623247778328254,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,31/50,1/4 - sqrt(733)/200,0.11463013629319116,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,63/100,1/4 - sqrt(3007)/400,0.11290970129144805,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,16/25,1/4 - sqrt(193)/100,0.11107556010550196,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,13/20,1/4 - sqrt(127)/80,0.10913215413019194,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,33/50,1/4 - sqrt(817)/200,0.10708394072043548,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,67/100,1/4 - sqrt(3367)/400,0.10493535923595991,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,17/25,1/4 - sqrt(217)/100,0.10269080137343764,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,69/100,1/4 - sqrt(3583)/400,0.10035458577022816,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,7/10,1/4 - sqrt(37)/40,0.097930936742544508,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,71/100,1/4 - sqrt(3823)/400,0.095423966928892892,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,18/25,1/4 - sqrt(247)/100,0.092837663544982893,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,73/100,1/4 - sqrt(4087)/400,0.090175877915753905,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,37/50,1/4 - sqrt(1057)/200,0.087442317929911417,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,3/4,1/4 - sqrt(7)/16,0.084640543058463094,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,19/25,1/4 - sqrt(283)/100,0.081773961587392779,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,77/100,1/4 - sqrt(4687)/400,0.078845829732372572,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,39/50,1/4 - sqrt(1213)/200,0.07585925232732002,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,79/100,1/4 - sqrt(5023)/400,0.072817184806200808,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,4/5,1/4 - sqrt(13)/20,0.069722436226800535,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,81/100,1/4 - sqrt(5383)/400,0.066577673114748645,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,41/50,1/4 - sqrt(1393)/200,0.063385423934784774,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,83/100,1/4 - sqrt(5767)/400,0.060148084023363094,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,21/25,1/4 - sqrt(373)/100,0.056867920841720342,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,17/20,1/4 - sqrt(247)/80,0.053547079431228613,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,43/50,1/4 - sqrt(1597)/200,0.050187587973119147,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,87/100,1/4 - sqrt(6607)/400,0.046791363372518047,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,22/25,1/4 - sqrt(427)/100,0.043360216802281755,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,89/100,1/4 - sqrt(7063)/400,0.039895859155513073,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,9/10,1/4 - sqrt(73)/40,0.036399906367061724,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,91/100,1/4 - sqrt(7543)/400,0.032873884573964708,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,23/25,1/4 - sqrt(487)/100,0.029319235092860892,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,93/100,1/4 - sqrt(8047)/400,0.025737319199114182,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,47/50,1/4 - sqrt(2077)/200,0.022129422697883174,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,19/20,1/4 - 7*sqrt(7)/80,0.018496760281848323,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,24/25,1/4 - sqrt(553)/100,0.01484047967390306,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,97/100,1/4 - sqrt(9127)/400,0.011161665555966498,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,49/50,1/4 - sqrt(2353)/200,0.007461343287301931,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=60deg,99/100,1/4 - sqrt(9703)/400,0.0037404824174302092,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,1/100,1/200,0.0050000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,1/50,1/100,0.01,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,3/100,3/200,0.014999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,1/25,1/50,0.02,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,1/20,1/40,0.025000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,3/50,3/100,0.029999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,7/100,7/200,0.035000000000000003,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,2/25,1/25,0.040000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,9/100,9/200,0.044999999999999998,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,1/10,1/20,0.050000000000000003,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,11/100,11/200,0.055,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,3/25,3/50,0.059999999999999998,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,13/100,13/200,0.065000000000000002,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,7/50,7/100,0.070000000000000007,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,3/20,3/40,0.074999999999999997,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,4/25,2/25,0.080000000000000002,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,17/100,17/200,0.085000000000000006,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,9/50,9/100,0.089999999999999997,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,19/100,19/200,0.095000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,1/5,1/10,0.10000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,21/100,21/200,0.105,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,11/50,11/100,0.11,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,23/100,23/200,0.115,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,6/25,3/25,0.12,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,1/4,1/8,0.125,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,13/50,13/100,0.13,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,27/100,27/200,0.13500000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,7/25,7/50,0.14000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,29/100,29/200,0.14499999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,3/10,3/20,0.14999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,31/100,31/200,0.155,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,8/25,4/25,0.16,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,33/100,33/200,0.16500000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,17/50,17/100,0.17000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,7/20,7/40,0.17499999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,9/25,9/50,0.17999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,37/100,37/200,0.185,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,19/50,19/100,0.19,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,39/100,39/200,0.19500000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,2/5,1/5,0.20000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,41/100,41/200,0.20499999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,21/50,21/100,0.20999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,43/100,43/200,0.215,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,11/25,11/50,0.22,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,9/20,9/40,0.22500000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,23/50,23/100,0.23000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,47/100,47/200,0.23499999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,12/25,6/25,0.23999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,49/100,49/200,0.245,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,1/2,1/4,0.25,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,51/100,49/200,0.245,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,13/25,6/25,0.23999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,53/100,47/200,0.23499999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,27/50,23/100,0.23000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,11/20,9/40,0.22500000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,14/25,11/50,0.22,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,57/100,43/200,0.215,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,29/50,21/100,0.20999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,59/100,41/200,0.20499999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,3/5,1/5,0.20000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,61/100,39/200,0.19500000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,31/50,19/100,0.19,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,63/100,37/200,0.185,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,16/25,9/50,0.17999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,13/20,7/40,0.17499999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,33/50,17/100,0.17000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,67/100,33/200,0.16500000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,17/25,4/25,0.16,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,69/100,31/200,0.155,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,7/10,3/20,0.14999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,71/100,29/200,0.14499999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,18/25,7/50,0.14000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,73/100,27/200,0.13500000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,37/50,13/100,0.13,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,3/4,1/8,0.125,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,19/25,3/25,0.12,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,77/100,23/200,0.115,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,39/50,11/100,0.11,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,79/100,21/200,0.105,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,4/5,1/10,0.10000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,81/100,19/200,0.095000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,41/50,9/100,0.089999999999999997,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,83/100,17/200,0.085000000000000006,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,21/25,2/25,0.080000000000000002,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,17/20,3/40,0.074999999999999997,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,43/50,7/100,0.070000000000000007,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,87/100,13/200,0.065000000000000002,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,22/25,3/50,0.059999999999999998,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,89/100,11/200,0.055,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,9/10,1/20,0.050000000000000003,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,91/100,9/200,0.044999999999999998,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,23/25,1/25,0.040000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,93/100,7/200,0.035000000000000003,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,47/50,3/100,0.029999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,19/20,1/40,0.025000000000000001,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,24/25,1/50,0.02,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,97/100,3/200,0.014999999999999999,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,49/50,1/100,0.01,r=alpha/(alpha+beta)
B,two-axis-frame-constant,theta=90deg,99/100,1/200,0.0050000000000000001,r=alpha/(alpha+beta)
C,whole-space-frame-constant,Gaussian Schwartz family,1,1/10,0.10000000000000001,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,2,1/34,0.029411764705882353,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,3,1/74,0.013513513513513514,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,4,1/130,0.0076923076923076927,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,5,1/202,0.0049504950495049506,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,6,1/290,0.0034482758620689655,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,7,1/394,0.0025380710659898475,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,8,1/514,0.0019455252918287938,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,9,1/650,0.0015384615384615385,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,10,1/802,0.0012468827930174563,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,11,1/970,0.0010309278350515464,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,12,1/1154,0.00086655112651646442,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,13,1/1354,0.00073855243722304289,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,14,1/1570,0.00063694267515923564,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,15,1/1802,0.00055493895671476139,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,16,1/2050,0.00048780487804878049,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,17,1/2314,0.00043215211754537599,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,18,1/2594,0.00038550501156515033,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,19,1/2890,0.00034602076124567473,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,20,1/3202,0.00031230480949406619,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,21,1/3530,0.00028328611898016995,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,22,1/3874,0.00025813113061435211,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,23,1/4234,0.00023618327822390176,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,24,1/4610,0.00021691973969631235,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,25,1/5002,0.00019992003198720512,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,26,1/5410,0.00018484288354898336,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,27,1/5834,0.00017140898183064793,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,28,1/6274,0.00015938795027095951,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,29,1/6730,0.00014858841010401187,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,30,1/7202,0.00013885031935573453,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,31,1/7690,0.00013003901170351105,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,32,1/8194,0.000122040517451794,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,33,1/8714,0.00011475786091347258,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,34,1/9250,0.00010810810810810811,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,35,1/9802,0.00010201999591920016,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,36,1/10370,9.6432015429122472e-05,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,37,1/10954,9.1290852656563819e-05,"c*=1/(8*L^2+2), L>=1"
C,whole-space-frame-constant,Gaussian Schwartz family,38,1/11554,8.6550112515146265e-05,"c*=1/(8*L^2+2), L>=1"
