azimuthOverPi,mu,D,sign
1.34166666667,-0.988888888889,-0.086153108361908343,-1
1.35,-0.988888888889,-0.087348073363125833,-1
1.35833333333,-0.988888888889,-0.088483174357993855,-1
1.36666666667,-0.988888888889,-0.089557633404990039,-1
1.375,-0.988888888889,-0.090570714123554108,-1
1.38333333333,-0.988888888889,-0.091521722198765976,-1
1.39166666667,-0.988888888889,-0.092410005857194874,-1
1.4,-0.988888888889,-0.093234956313592021,-1
1.40833333333,-0.988888888889,-0.093996008188121816,-1
1.41666666667,-0.988888888889,-0.09469263989384484,-1
1.425,-0.988888888889,-0.095324373994187528,-1
1.43333333333,-0.988888888889,-0.095890777530153334,-1
1.44166666667,-0.988888888889,-0.096391462317051188,-1
1.45,-0.988888888889,-0.096826085210537899,-1
1.45833333333,-0.988888888889,-0.097194348341792192,-1
1.46666666667,-0.988888888889,-0.097495999321659046,-1
1.475,-0.988888888889,-0.097730831413624666,-1
1.48333333333,-0.988888888889,-0.097898683675503334,-1
1.49166666667,-0.988888888889,-0.097999441069739193,-1
1.5,-0.988888888889,-0.098033034542247155,-1
1.50833333333,-0.988888888889,-0.097999441069739193,-1
1.51666666667,-0.988888888889,-0.097898683675503348,-1
1.525,-0.988888888889,-0.09773083141362468,-1
1.53333333333,-0.988888888889,-0.09749599932165906,-1
1.54166666667,-0.988888888889,-0.097194348341792206,-1
1.55,-0.988888888889,-0.096826085210537913,-1
1.55833333333,-0.988888888889,-0.096391462317051202,-1
1.56666666667,-0.988888888889,-0.095890777530153362,-1
1.575,-0.988888888889,-0.095324373994187556,-1
1.58333333333,-0.988888888889,-0.094692639893844868,-1
1.59166666667,-0.988888888889,-0.09399600818812183,-1
1.6,-0.988888888889,-0.093234956313592035,-1
1.60833333333,-0.988888888889,-0.092410005857194888,-1
1.61666666667,-0.988888888889,-0.091521722198766031,-1
1.625,-0.988888888889,-0.09057071412355415,-1
1.63333333333,-0.988888888889,-0.089557633404990095,-1
1.64166666667,-0.988888888889,-0.088483174357993868,-1
1.65,-0.988888888889,-0.087348073363125847,-1
1.65833333333,-0.988888888889,-0.086153108361908357,-1
1.66666666667,-0.988888888889,-0.084899098323663449,-1
1.675,-0.988888888889,-0.083586902684232037,-1
1.68333333333,-0.988888888889,-0.082217420756959814,-1
1.69166666667,-0.988888888889,-0.080791591116352576,-1
1.7,-0.988888888889,-0.0793103909548242,-1
1.70833333333,-0.988888888889,-0.077774835412977819,-1
1.71666666667,-0.988888888889,-0.076185976883879153,-1
1.725,-0.988888888889,-0.074544904291798678,-1
1.73333333333,-0.988888888889,-0.072852742345917654,-1
1.74166666667,-0.988888888889,-0.071110650769508413,-1
1.75,-0.988888888889,-0.069319823505118033,-1
1.75833333333,-0.988888888889,-0.06748148789629968,-1
