p,mu,c,norm,gain,N,dtMax,finiteDimensionalOnly
0.5,1e-09,3.1622776601683795e-05,balanced_l2,1.0103348023883587,10,0.0025,True
0.5,1e-09,3.1622776601683795e-05,kinetic,1.0100768032659582,10,0.0025,True
0.5,1e-09,3.1622776601683795e-05,kinetic_under,1.000000321347254,10,0.0025,True
0.5,1e-09,3.1622776601683795e-05,kinetic_over,22.424459323904244,10,0.0025,True
0.5,1e-10,1e-05,raw_q,12800.776754099037,10,0.0025,True
0.5,1e-10,1e-05,xmu,0.9999999999297369,10,0.0025,True
0.5,1e-10,1e-05,hminus1,0.9999999999297153,10,0.0025,True
0.5,1e-10,1e-05,balanced_l2,1.0103348030663422,10,0.0025,True
0.5,1e-10,1e-05,kinetic,1.0100768039525534,10,0.0025,True
0.5,1e-10,1e-05,kinetic_under,1.0000001017757647,10,0.0025,True
0.5,1e-10,1e-05,kinetic_over,39.843860647024016,10,0.0025,True
0.5,1e-11,3.162277660168379e-06,raw_q,40479.610233598665,10,0.0025,True
0.5,1e-11,3.162277660168379e-06,xmu,0.9999999999929754,10,0.0025,True
0.5,1e-11,3.162277660168379e-06,hminus1,0.9999999999929734,10,0.0025,True
0.5,1e-11,3.162277660168379e-06,balanced_l2,1.0103348031341417,10,0.0025,True
0.5,1e-11,3.162277660168379e-06,kinetic,1.0100768040212145,10,0.0025,True
0.5,1e-11,3.162277660168379e-06,kinetic_under,1.0000000322000089,10,0.0025,True
0.5,1e-11,3.162277660168379e-06,kinetic_over,70.83489086359114,10,0.0025,True
0.5,1e-12,1e-06,raw_q,128007.76709333672,10,0.0025,True
0.5,1e-12,1e-06,xmu,0.9999999999992998,10,0.0025,True
0.5,1e-12,1e-06,hminus1,0.9999999999992998,10,0.0025,True
0.5,1e-12,1e-06,balanced_l2,1.0103348031409218,10,0.0025,True
0.5,1e-12,1e-06,kinetic,1.0100768040280814,10,0.0025,True
0.5,1e-12,1e-06,kinetic_under,1.0000000101841076,10,0.0025,True
0.5,1e-12,1e-06,kinetic_over,125.95375079670404,10,0.0025,True
0.5,1e-13,3.162277660168379e-07,raw_q,404796.1021944274,10,0.0025,True
0.5,1e-13,3.162277660168379e-07,xmu,0.9999999999999365,10,0.0025,True
0.5,1e-13,3.162277660168379e-07,hminus1,0.9999999999999369,10,0.0025,True
0.5,1e-13,3.162277660168379e-07,balanced_l2,1.0103348031416046,10,0.0025,True
0.5,1e-13,3.162277660168379e-07,kinetic,1.010076804028772,10,0.0025,True
0.5,1e-13,3.162277660168379e-07,kinetic_under,1.0000000032206606,10,0.0025,True
0.5,1e-13,3.162277660168379e-07,kinetic_over,223.9750694169448,10,0.0025,True
0.5,1e-14,1e-07,raw_q,1280077.6708886048,10,0.0025,True
0.5,1e-14,1e-07,xmu,1.0000000000000004,10,0.0025,True
0.5,1e-14,1e-07,hminus1,1.0000000000000004,10,0.0025,True
0.5,1e-14,1e-07,balanced_l2,1.010334803141673,10,0.0025,True
0.5,1e-14,1e-07,kinetic,1.0100768040288413,10,0.0025,True
0.5,1e-14,1e-07,kinetic_under,1.000000001018483,10,0.0025,True
