caseId,family,pathId,N,dimension,start,end,tau,mu,gammaAbs,c,Lambda,p,kappa,sign,norm,muWeightExponentA,laplacianWeightExponentB,gain,logGain,xmuLogBound,kineticLogBound,boundMargin,inputMeanFraction,inputK1Fraction,inputK2Fraction,inputTailFraction,outputMeanFraction,outputK1Fraction,outputK2Fraction,outputTailFraction,rk4Steps,finiteDimensionalOnly
R073B-W0049,power,p0.75-k1,10,21,0.0,0.1,0.1,0.01,0.1,-0.03162277660168379,-0.3162277660168379,0.75,1.0,-1,balanced_l2,1.0,0.0,0.9994840072459423,-0.0005161259241306225,0.009478981640138669,0.013039134884638422,0.013555260808769044,0.9971495102649091,0.0025207166916121626,0.00032977208606520546,9.57413604809708e-10,0.9961966399742888,0.0030695063207647434,0.0007338523783244195,1.326621993681697e-09,40,True
R073B-W0049,power,p0.75-k1,10,21,0.0,0.1,0.1,0.01,0.1,-0.03162277660168379,-0.3162277660168379,0.75,1.0,-1,kinetic,1.0,1.0,0.9993296623956219,-0.000670562381086457,0.009478981640138669,0.013039134884638422,0.01370969726572488,0.997411695226996,0.0025054680461717186,8.28354649201389e-05,1.2619120643324963e-09,0.9967664204206691,0.0030498967457789077,0.00018368233291933642,5.006326959620291e-10,40,True
R073B-W0049,power,p0.75-k1,10,21,0.0,0.1,0.1,0.01,0.1,-0.03162277660168379,-0.3162277660168379,0.75,1.0,-1,kinetic_under,0.5,1.0,0.9990390079545282,-0.0009614540943681664,0.009478981640138669,0.013039134884638422,0.014000588979006589,0.9996855548878077,0.0003055422214557134,8.902742953124337e-06,1.4778336253419354e-10,0.9996212559440055,0.0003597296070787393,1.9014388766288894e-05,6.014944449257066e-11,40,True
R073B-W0049,power,p0.75-k1,10,21,0.0,0.1,0.1,0.01,0.1,-0.03162277660168379,-0.3162277660168379,0.75,1.0,-1,kinetic_over,1.5,1.0,1.0021650768412218,0.0021627364398480297,0.009478981640138669,0.013039134884638422,0.010876398444790393,0.9766003889722595,0.022610470549002067,0.0007891289735213912,1.1505217129680049e-08,0.9704533999885682,0.027780111242231696,0.0017664842680766913,4.501123488206418e-09,40,True
R073B-W0050,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,1e-06,0.009999999999999998,0.75,1.0,1,raw_q,-2.0,0.0,5.8523393142543965,1.7668414640904844,3.3037449541925115e-07,0.0004439554261378265,-1.7663975086643466,0.9839295280938326,0.00737655711406097,0.008693914792106348,3.890322779976286e-18,0.02872797384581103,0.3085827202114027,0.6626893059427862,6.751758499591645e-20,40,True
R073B-W0050,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,1e-06,0.009999999999999998,0.75,1.0,1,xmu,0.0,0.0,0.9999999990000134,-9.999866495417597e-10,3.3037449541925115e-07,0.0004439554261378265,0.00044395642612447605,0.9999999999998828,1.132084154321898e-13,3.9969955309314184e-15,3.1339862616504854e-29,0.9999999999998788,1.1318957092615409e-13,8.060021466059411e-15,6.394962127951447e-29,40,True
R073B-W0050,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,1e-06,0.009999999999999998,0.75,1.0,1,hminus1,0.0,1.0,0.9999999990000116,-9.99988425898601e-10,3.3037449541925115e-07,0.0004439554261378265,0.0004439564261262524,0.9999999999998852,1.1320841322940689e-13,1.5917950053468523e-15,4.50649078456476e-29,0.9999999999998843,1.1318956869014058e-13,2.5445321884185756e-15,2.0951579447608034e-29,40,True
R073B-W0050,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,1e-06,0.009999999999999998,0.75,1.0,1,balanced_l2,1.0,0.0,1.0000004852810052,4.852808874093114e-07,3.3037449541925115e-07,0.0004439554261378265,0.0004434701452504172,0.9999971171142209,2.5499874789888274e-06,3.328983001711608e-07,9.835180830707743e-22,0.9999961445557315,3.1145647567159854e-06,7.408795117759412e-07,1.3861328881994607e-21,40,True
R073B-W0050,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,1e-06,0.009999999999999998,0.75,1.0,1,kinetic,1.0,1.0,1.0000003322879238,3.322878686355909e-07,3.3037449541925115e-07,0.0004439554261378265,0.00044362313826919094,0.9999973667786124,2.5499966989746095e-06,8.322468858024823e-08,1.2935281645697185e-21,0.9999967002048616,3.114575065026209e-06,1.8522007336574971e-07,5.180444093505523e-22,40,True
R073B-W0050,power,p0.75-k1,10,21,0.0,0.1,0.1,1e-08,0.0001,1e-06,0.009999999999999998,0.75,1.0,1,kinetic_under,0.5,1.0,0.9999999990333339,-9.666660809824321e-10,3.3037449541925115e-07,0.0004439554261378265,0.0004439563928039075,0.9999999997366182,2.5505867210839954e-10,8.323148339707337e-12,1.293092489261052e-25,0.9999999996699604,3.115168643815388e-10,1.8522726012019262e-11,5.180838050442103e-26,40,True
