panel,route,series,kind,x,y,phi,theta,radius,distance,source,pointer,status,note
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.0495429883651596,-0.13382612127177168,-2.4085543677521746,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.049151822454008266,-0.13511804152313206,-2.399827721492203,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.048756913441278034,-0.13639967201249972,-2.3911010752322315,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.048358291400819181,-0.13767091513875079,-2.38237442897226,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.047955986689243398,-0.13893167409179949,-2.373647782712288,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.047550029943612099,-0.1401818528599702,-2.3649211364523164,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.047140452079103161,-0.1414213562373095,-2.356194490192345,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.046727284286656727,-0.14265008983083632,-2.3474678439323733,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.046310558030599823,-0.14386796006773023,-2.3387411976724017,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.045890305046250253,-0.14507487420245754,-2.3300145514124297,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.045466557337499894,-0.14627074032383411,-2.321287905152458,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.045039347174377346,-0.14745546736202481,-2.3125612588924866,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.044608707090590526,-0.1486289650954789,-2.3038346126325147,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.044174669881049171,-0.1497911441578004,-2.2951079663725436,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.043737268599367142,-0.15094191604455443,-2.2863813201125716,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.043296536555345572,-0.1520811931200062,-2.2776546738526,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.042852507312435957,-0.15320888862379561,-2.2689280275926285,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.042405214685184246,-0.15432491667754406,-2.2602013813326565,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.041954692736655821,-0.15542919229139421,-2.251474735072685,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.041500975775841296,-0.15652163137048281,-2.2427480888127134,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.041044098355043884,-0.1576021507213444,-2.234021442552742,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.040584095267248044,-0.15867066805824703,-2.2252947962927703,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.04012100154346987,-0.15972710200945861,-2.2165681500327983,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.039654852450089408,-0.16077137212344347,-2.2078415037728267,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.039185683486164871,-0.16180339887498948,-2.199114857512855,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.038713530380729319,-0.16282310367126385,-2.1903882112528836,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.038238429090069741,-0.16383040885779834,-2.181661564992912,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.037760415794988837,-0.16482523772440316,-2.17293491873294,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.037279526898049781,-0.16580751451100834,-2.1642082724729685,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.036795799020803877,-0.16677716441343365,-2.155481626212997,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.03630926900100178,-0.16773411358908485,-2.146754979953025,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.035819973889788269,-0.16867828916257713,-2.138028333693054,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.035327950948880318,-0.1696096192312852,-2.129301687433082,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
A,incidence-preimage,A4 closure,exact-parametric-curve,-0.034833237647729921,-0.17052803287081847,-2.1205750411731104,,,,research/r072s_report-source.md,(1.6)-(1.8),proved,"A=cos(phi)/15, B=sin(phi)/5"
