branch,N,epsilon,sampleIndex,d,lambda,lambdaImaginary,cumulativeAction,fixedContourCount,phaseAnchorAbs,eigenResidualRelative,finiteCompressionOnly
viscous,40,0.001,52,0.0018055555555555555,0.1683448113166032,4.0206338589877393e-17,0.00030449608993562234,1,0.27399485540766894,3.6252281344998901e-16,true
viscous,40,0.001,53,0.0018402777777777777,0.16833332766255793,3.1416476702349675e-17,0.00031034119651137234,1,0.27400306143487357,2.636286127003866e-16,true
viscous,40,0.001,54,0.0018749999999999999,0.16832184530419625,-3.0248415954690851e-17,0.00031618590437162964,1,0.2740112682875705,2.9910996031647561e-16,true
viscous,40,0.001,55,0.0019097222222222222,0.16831036424133097,1.2030685537420993e-16,0.00032203021356138012,1,0.27401947596572529,1.7650049389591685e-16,true
viscous,40,0.001,56,0.0019444444444444444,0.16829888447377644,-5.4087361793922992e-17,0.000327874124125603,1,0.27402768446931836,2.9695234207226458e-16,true
viscous,40,0.001,57,0.0019791666666666668,0.16828740600134354,-7.9882404313526376e-17,0.00033371763610927114,1,0.27403589379832027,2.8371015248643435e-16,true
viscous,40,0.001,58,0.0020138888888888888,0.16827592882384443,-1.3193354546231786e-16,0.00033956074955735068,1,0.27404410395270429,1.7441528356957735e-16,true
viscous,40,0.001,59,0.0020486111111111113,0.16826445294109438,2.2934347809780516e-17,0.00034540346451480145,1,0.27405231493244248,1.9921692587414217e-16,true
viscous,40,0.001,60,0.0020833333333333333,0.16825297835290592,8.5599265582140716e-17,0.00035124578102657672,1,0.27406052673751247,2.5596732311816174e-16,true
viscous,40,0.001,61,0.0021180555555555558,0.16824150505909133,-2.9582819076052904e-17,0.00035708769913762336,1,0.27406873936788717,3.21075768586971e-16,true
viscous,40,0.001,62,0.0021527777777777778,0.16823003305946568,3.4658066143442464e-17,0.00036292921889288158,1,0.27407695282353339,3.0385913392010684e-16,true
viscous,40,0.001,63,0.0021875000000000002,0.16821856235383723,-4.1031740360411391e-18,0.00036877034033728524,1,0.27408516710443276,2.5412534651464646e-16,true
viscous,40,0.001,64,0.0022222222222222222,0.16820709294202493,-4.471236582796396e-17,0.00037461106351576156,1,0.27409338221055307,2.4370203907962166e-16,true
viscous,40,0.00050000000000000001,0,0,0.16967433830975787,-9.2516077656266136e-17,0,1,0.27119665787887737,3.5649017215623164e-16,true
viscous,40,0.00050000000000000001,1,3.4722222222222222e-05,0.16966275500972072,1.8406862607837145e-17,5.8912689774635204e-06,1,0.2712046494532126,3.0459168108618922e-16,true
viscous,40,0.00050000000000000001,2,6.9444444444444444e-05,0.16965117301506827,8.2176464703438177e-17,1.1782135779672557e-05,1,0.27121264185481098,3.2298732113822491e-16,true
viscous,40,0.00050000000000000001,3,0.00010416666666666666,0.16963959232561124,1.160977847010235e-16,1.767260045194969e-05,1,0.27122063508365052,3.925087075166973e-16,true
viscous,40,0.00050000000000000001,4,0.00013888888888888889,0.16962801294115915,-2.2521521390243039e-17,2.3562663039610885e-05,1,0.27122862913970958,3.9906064149053094e-16,true
