kappa_q_rj,exact_alpha,quadratic_asymptotic
0.12089999999999999,0.017357872993401635,0.017540172
0.12152,0.017534473836040565,0.017720532480000002
0.12214,0.017711939519042819,0.017901815519999999
0.12275999999999999,0.017890269458787245,0.018084021119999998
0.12338,0.018069463068797642,0.018267149279999999
0.124,0.018249519759846677,0.018451199999999997
0.12461999999999999,0.018430438939796012,0.018636173279999998
0.12523999999999999,0.01861222001372953,0.018822069119999996
0.12586,0.018794862383913369,0.01900888752
0.12648000000000001,0.018978365449738632,0.019196628480000005
0.12709999999999999,0.019162728607875934,0.019385291999999998
0.12772,0.019347951252072892,0.019574878080000004
0.12834000000000001,0.019534032773332655,0.019765386720000003
0.12895999999999999,0.019720972559837957,0.019956817919999998
0.12958,0.019908769996937803,0.020149171680000001
0.13020000000000001,0.020097424467186098,0.020342448000000003
0.13081999999999999,0.02028693535032966,0.020536646879999999
0.13144,0.020477302023354849,0.020731768320000003
0.13206000000000001,0.020668523860357002,0.020927812320000006
0.13267999999999999,0.020860600232704307,0.02112477888
0.1333,0.021053530508952534,0.021322667999999999
0.13392000000000001,0.021247314054877009,0.021521479680000004
0.13453999999999999,0.021441950233423324,0.021721213919999999
0.13516,0.021637438404777942,0.02192187072
0.13578000000000001,0.021833777926338893,0.022123450080000006
0.13639999999999999,0.022030968152702446,0.022325951999999996
0.13702,0.022229008435705744,0.022529376480000002
0.13764000000000001,0.022427898124384171,0.022733723520000006
0.13825999999999999,0.02262763656500999,0.022938993120000001
0.13888,0.02282822310105237,0.023145185280000001
0.13950000000000001,0.0230296570732893,0.023352300000000006
0.14011999999999999,0.023231937819603754,0.02356033728
0.14074,0.023435064675219497,0.023769297120000001
0.14136000000000001,0.023639036972526561,0.023979179520000005
0.14198,0.023843854041183832,0.024189984479999999
0.1426,0.024049515208096395,0.024401711999999999
0.14321999999999999,0.024256019797372907,0.024614362079999997
0.14384,0.024463367130398872,0.02482793472
0.14446000000000001,0.024671556525800664,0.025042429920000005
0.14507999999999999,0.024880587299429546,0.025257847679999994
0.1457,0.025090458764424284,0.025474187999999998
0.14632000000000001,0.025301170231159187,0.025691450880000001
0.14693999999999999,0.025512721007253436,0.025909636319999995
0.14756,0.025725110397613715,0.026128744319999998
0.14818000000000001,0.025938337704364933,0.026348774880000002
0.14879999999999999,0.02615240222693016,0.026569727999999994
0.14942,0.026367303262010644,0.026791603679999998
0.15004000000000001,0.02658304010352186,0.027014401920000004
0.15065999999999999,0.026799612042705423,0.027238122719999997
0.15128,0.027017018368041157,0.027462766079999999
0.15190000000000001,0.02723525836529106,0.027688332000000003
0.15251999999999999,0.027454331317523284,0.027914820479999998
0.15314,0.02767423650505485,0.028142231519999998
0.15376000000000001,0.027894973205494278,0.028370565120000003
0.15437999999999999,0.028116540693740255,0.028599821279999993
0.155,0.028338938241981637,0.028830000000000001
0.15562000000000001,0.028562165119697447,0.029061101280000001
0.15623999999999999,0.028786220593663536,0.029293125119999996
0.15686,0.02901110392794326,0.029526071519999995
0.15748000000000001,0.029236814383914123,0.029759940480000004
0.15809999999999999,0.029463351220229139,0.029994731999999996
0.15872,0.029690713692888782,0.030230446079999994
0.15934000000000001,0.029918901055155045,0.030467082720000004
0.15995999999999999,0.030147912557632051,0.030704641919999998
0.16058,0.03037774744821875,0.03094312368
0.16120000000000001,0.030608404972143566,0.031182528000000004
0.16181999999999999,0.030839884371943072,0.031422854879999997
0.16244,0.031072184887470655,0.031664104319999997
0.16306000000000001,0.031305305755919832,0.031906276320000003
0.16367999999999999,0.031539246211792271,0.03214937088
0.1643,0.031774005486923107,0.032393388000000002
0.16492000000000001,0.03200958281049826,0.032638327680000002
0.16553999999999999,0.032245977409003146,0.032884189919999994
0.16616,0.032483188506282623,0.033130974719999998
0.16678000000000001,0.03272121532353367,0.033378682080000006
0.16739999999999999,0.032960057079266747,0.033627311999999999
0.16802,0.033199712989355756,0.033876864480000005
0.16864000000000001,0.033440182267024054,0.034127339520000008
0.16925999999999999,0.033681464122831128,0.034378737119999996
0.16988,0.033923557764705237,0.034631057280000002
0.17050000000000001,0.03416646239792609,0.034884300000000007
0.17111999999999999,0.034410177225128846,0.035138465279999996
0.17174,0.03465470144633076,0.035393553119999997
0.17236000000000001,0.034900034258889212,0.035649563520000004
0.17297999999999999,0.035146174857535017,0.035906496480000001
0.1736,0.035393122434381752,0.036164351999999997
0.17422000000000001,0.035640876178911096,0.036423130080000005
0.17484,0.035889435277977499,0.036682830719999997
0.17546,0.036138798915820836,0.036943453920000001
0.17607999999999999,0.036388966274057744,0.037204999679999996
0.1767,0.036639936531700279,0.037467467999999997
0.17732000000000001,0.036891708865139927,0.037730858880000009
0.17793999999999999,0.037144282448158927,0.037995172319999999
0.17856,0.037397656451935601,0.038260408319999994
0.17918000000000001,0.037651830045058343,0.038526566880000002
0.17979999999999999,0.037906802393495642,0.038793647999999993
0.18042,0.038162572660639382,0.039061651679999997
0.18104000000000001,0.038419140007266206,0.039330577920000005
0.18165999999999999,0.038676503591570155,0.039600426719999991
0.18228,0.038934662569173328,0.039871198079999996
0.18290000000000001,0.03919361609309524,0.040142891999999999
0.18351999999999999,0.039453363313772805,0.040415508479999994
0.18414,0.039713903379079651,0.04068904752
0.18476000000000001,0.03997523543429149,0.040963509120000005
0.18537999999999999,0.040237358622142061,0.041238893279999994
0.186,0.040500272082759858,0.041515200000000002
0.18662000000000001,0.040763974953735405,0.041792429280000001
0.18723999999999999,0.041028466370085281,0.042070581119999992
0.18786,0.041293745464262788,0.042349655519999994
0.18848000000000001,0.041559811366175925,0.042629652480000009
0.18909999999999999,0.04182666320315076,0.042910571999999994
0.18972,0.042094300099998705,0.043192414079999998
0.19034000000000001,0.042362721178963891,0.043475178720000007
0.19095999999999999,0.042631925559743822,0.043758865919999987
0.19158,0.042901912359499361,0.044043475679999999
0.19220000000000001,0.043172680692858734,0.044329008000000003
0.19281999999999999,0.043444229671894874,0.044615462879999998
0.19344,0.043716558406178052,0.044902840319999998
0.19406000000000001,0.043989666002727246,0.045191140320000003
0.19467999999999999,0.044263551566038783,0.045480362879999993
0.1953,0.044538214198097004,0.045770508000000001
0.19592000000000001,0.04481365299835427,0.046061575680000008
0.19653999999999999,0.045089867063758282,0.046353565919999992
0.19716,0.045366855488728763,0.046646478719999995
0.19778000000000001,0.045644617365194096,0.04694031408000001
0.19839999999999999,0.04592315178256734,0.047235072000000003
0.19902,0.046202457827752896,0.047530752480000008
0.19964000000000001,0.046482534585161162,0.047827355520000003
0.20025999999999999,0.046763381136703863,0.048124881119999997
0.20088,0.047044996561813379,0.048423329279999996
0.20150000000000001,0.0473273799374061,0.048722700000000008
0.20211999999999999,0.047610530337925727,0.049022993279999996
0.20274,0.047894446835340609,0.049324209119999997
0.20336000000000001,0.048179128499123758,0.049626347520000003
0.20397999999999999,0.048464574396282156,0.04992940848
0.2046,0.048750783591332114,0.050233392000000002
0.20522000000000001,0.049037755146346562,0.050538298080000009
0.20584,0.049325488120905092,0.050844126720000007
0.20646,0.049613981572143251,0.051150877920000004
0.20707999999999999,0.049903234554723896,0.051458551679999985
0.2077,0.05019324612086451,0.051767147999999999
0.20832000000000001,0.050484015320320874,0.052076666880000011
0.20893999999999999,0.050775541200390073,0.05238710832
0.20956,0.051067822805953123,0.052698472320000002
0.21018000000000001,0.051360859179408358,0.053010758880000008
0.21079999999999999,0.051654649360741711,0.053323967999999985
0.21142,0.051949192387492404,0.053638099679999995
0.21204000000000001,0.052244487294772934,0.053953153919999997
0.21265999999999999,0.052540533115251753,0.054269130719999989
0.21328,0.052837328879191237,0.05458603008
0.21390000000000001,0.053134873614419043,0.05490385200000001
0.21451999999999999,0.053433166346346428,0.055222596479999997
0.21514,0.053732206097963919,0.055542263520000003
0.21576000000000001,0.054031991889857633,0.05586285312
0.21637999999999999,0.054332522740201949,0.056184365279999995
0.217,0.054633797664759842,0.056506800000000003
0.21762000000000001,0.05493581567690653,0.056830157280000002
0.21823999999999999,0.055238575787601829,0.057154437119999998
0.21886,0.055542077005422796,0.057479639519999993
0.21948000000000001,0.055846318336554068,0.057805764480000008
0.22009999999999999,0.056151298784788195,0.058132811999999999
0.22072,0.056457017351536298,0.058460782080000009
0.22134000000000001,0.05676347303583007,0.058789674720000004
0.22195999999999999,0.057070664834318108,0.059119489920000004
0.22258,0.057378591741284901,0.059450227680000002
0.22320000000000001,0.057687252748638174,0.059781888000000005
0.22381999999999999,0.057996646845919209,0.060114470879999993
0.22444,0.058306773020312841,0.060447976319999999
0.22506000000000001,0.058617630256634135,0.060782404320000004
0.22567999999999999,0.058929217537359357,0.06111775488
0.2263,0.059241533842593674,0.061454027999999994
0.22692000000000001,0.05955457815010845,0.061791223680000007
0.22753999999999999,0.059868349435320933,0.062129341919999991
0.22816,0.060182846671318568,0.062468382720000007
0.22878000000000001,0.06049806882883535,0.062808346080000008
0.22939999999999999,0.060814014876283795,0.063149232
0.23002,0.061130683779751949,0.063491040480000011
0.23064000000000001,0.061448074502983063,0.063833771519999999
0.23125999999999999,0.061766186007409241,0.064177425119999992
0.23188,0.062085017252148766,0.064522001279999991
0.23250000000000001,0.062404567193990124,0.064867500000000008
0.23311999999999999,0.062724834787422967,0.065213921280000003
0.23374,0.063045818984621138,0.065561265120000004
0.23436000000000001,0.063367518735464978,0.065909531520000009
0.23497999999999999,0.063689932987520681,0.066258720479999991
0.2356,0.064013060686065271,0.066608831999999993
0.23622000000000001,0.06433690077408627,0.066959866080000013
0.23683999999999999,0.064661452192277369,0.067311822719999997
0.23746,0.064986713879042091,0.067664701920000001
0.23808000000000001,0.065312684770515106,0.068018503680000009
0.2387,0.065639363800541251,0.068373227999999994
0.23932,0.065966749900700838,0.068728874879999999
0.23993999999999999,0.066294842000293008,0.069085444319999995
0.24056,0.066623639026368364,0.069442936320000009
0.24118000000000001,0.06695313990368934,0.069801350880000002
0.24179999999999999,0.067283343554781827,0.070160687999999999
0.24242,0.067614248899911189,0.070520947680000001
0.24304000000000001,0.067945854857083265,0.070882129920000009
0.24365999999999999,0.06827816034206835,0.071244234719999994
0.24428,0.068611164268385538,0.071607262079999998
0.24490000000000001,0.068944865547317047,0.071971212000000007
0.24551999999999999,0.069279263087908549,0.072336084479999993
0.24614,0.069614355796977501,0.072701879519999998
0.24676000000000001,0.06995014257910348,0.073068597119999995
0.24737999999999999,0.0702866223366575,0.073436237279999997
0.248,0.070623793969774029,0.07380479999999999
0.24862000000000001,0.070961656376387294,0.074174285280000002
0.24923999999999999,0.071300208452206304,0.074544693119999991
0.24986,0.071639449090738161,0.07491602352
0.25047999999999998,0.071979377183283733,0.075288276479999985
0.25109999999999999,0.07231999161894731,0.07566145199999999
0.25172,0.072661291284626284,0.07603555008
0.25234000000000001,0.073003275065036788,0.076410570720000001
0.25296000000000002,0.073345941842701046,0.076786513920000021
0.25358000000000003,0.073689290497956361,0.077163379680000019
0.25419999999999998,0.074033319908961781,0.077541167999999994
0.25481999999999999,0.074378028951695763,0.077919878880000001
0.25544,0.07472341649997033,0.078299512320000014
0.25606000000000001,0.075069481425418749,0.078680068320000005
0.25668000000000002,0.075416222597523008,0.079061546880000014
0.25729999999999997,0.075763638883588003,0.079443947999999986
0.25791999999999998,0.076111729148781671,0.079827271679999992
0.25853999999999999,0.076460492256100687,0.080211517920000003
0.25916,0.076809927066403272,0.080596686720000005
0.25978000000000001,0.077160032438400195,0.080982778080000012
0.26040000000000002,0.07751080722866327,0.08136979200000001
0.26101999999999997,0.077862250291625024,0.081757728479999986
0.26163999999999998,0.078214360479587186,0.082146587519999995
0.26225999999999999,0.078567136642726021,0.082536369119999994
0.26288,0.07892057762908683,0.082927073280000013
0.26350000000000001,0.079274682284599773,0.083318699999999996
0.26412000000000002,0.079629449453079704,0.083711249280000025
0.26473999999999998,0.079984877976226165,0.084104721119999976
0.26535999999999998,0.080340966693629723,0.084499115520000001
0.26597999999999999,0.080697714442783286,0.08489443247999999
0.2666,0.081055120059070618,0.085290671999999998
0.26722000000000001,0.081413182375795479,0.085687834079999997
0.26784000000000002,0.081771900224151817,0.086085918720000015
0.26845999999999998,0.082131272433254077,0.086484925919999983
0.26907999999999999,0.082491297830138866,0.086884855679999998
0.2697,0.082851975239758291,0.08728570799999999
0.27032,0.083213303484989953,0.087687482880000001
0.27094000000000001,0.083575281386641442,0.088090180320000003
0.27156000000000002,0.083937907763455499,0.088493800320000024
0.27217999999999998,0.084301181432107686,0.088898342879999981
0.27279999999999999,0.084665101207222371,0.089303807999999985
