sampleIndex,deltaExact,deltaDecimal,nearSaturationMeasureSquaredExact,nearSaturationMeasureDecimal,classification
86,43/200,0.215,15351/40000,0.61949576269737305,exact squared-measure presentation row
87,87/400,0.2175,62031/160000,0.62265058419630503,exact squared-measure presentation row
88,11/50,0.22,979/2500,0.62577951388648068,exact squared-measure presentation row
89,89/400,0.2225,63279/160000,0.62888293823254582,exact squared-measure presentation row
90,9/40,0.22500000000000001,639/1600,0.63196123298822693,exact squared-measure presentation row
91,91/400,0.22750000000000001,64519/160000,0.63501476360790232,exact squared-measure presentation row
92,23/100,0.23000000000000001,4071/10000,0.63804388563797088,exact squared-measure presentation row
93,93/400,0.23250000000000001,65751/160000,0.64104894508921861,exact squared-measure presentation row
94,47/200,0.23499999999999999,16591/40000,0.64403027879130026,exact squared-measure presentation row
95,19/80,0.23749999999999999,2679/6400,0.64698821473037671,exact squared-measure presentation row
96,6/25,0.23999999999999999,264/625,0.64992307237087688,exact squared-measure presentation row
97,97/400,0.24249999999999999,68191/160000,0.65283516296229016,exact squared-measure presentation row
98,49/200,0.245,17199/40000,0.6557247898318318,exact squared-measure presentation row
99,99/400,0.2475,69399/160000,0.6585922486637692,exact squared-measure presentation row
100,1/4,0.25,7/16,0.66143782776614768,exact squared-measure presentation row
101,101/400,0.2525,70599/160000,0.66426180832560289,exact squared-measure presentation row
102,51/200,0.255,17799/40000,0.66706446465090619,exact squared-measure presentation row
103,103/400,0.25750000000000001,71791/160000,0.66984606440584538,exact squared-measure presentation row
104,13/50,0.26000000000000001,1131/2500,0.67260686883200949,exact squared-measure presentation row
105,21/80,0.26250000000000001,2919/6400,0.67534713296200499,exact squared-measure presentation row
106,53/200,0.26500000000000001,18391/40000,0.67806710582360508,exact squared-measure presentation row
107,107/400,0.26750000000000002,74151/160000,0.68076703063529742,exact squared-measure presentation row
108,27/100,0.27000000000000002,4671/10000,0.6834471449936711,exact squared-measure presentation row
109,109/400,0.27250000000000002,75319/160000,0.68610768105305453,exact squared-measure presentation row
110,11/40,0.27500000000000002,759/1600,0.68874886569779559,exact squared-measure presentation row
111,111/400,0.27750000000000002,76479/160000,0.69137092070754613,exact squared-measure presentation row
112,7/25,0.28000000000000003,301/625,0.69397406291589891,exact squared-measure presentation row
113,113/400,0.28249999999999997,77631/160000,0.69655850436269884,exact squared-measure presentation row
114,57/200,0.28499999999999998,19551/40000,0.69912445244033627,exact squared-measure presentation row
115,23/80,0.28749999999999998,3151/6400,0.7016721100343094,exact squared-measure presentation row
116,29/100,0.28999999999999998,4959/10000,0.70420167565833014,exact squared-measure presentation row
117,117/400,0.29249999999999998,79911/160000,0.70671334358422866,exact squared-measure presentation row
118,59/200,0.29499999999999998,20119/40000,0.70920730396690079,exact squared-measure presentation row
119,119/400,0.29749999999999999,81039/160000,0.71168374296452774,exact squared-measure presentation row
120,3/10,0.29999999999999999,51/100,0.71414284285428498,exact squared-measure presentation row
121,121/400,0.30249999999999999,82159/160000,0.71658478214374599,exact squared-measure presentation row
122,61/200,0.30499999999999999,20679/40000,0.71900973567817561,exact squared-measure presentation row
123,123/400,0.3075,83271/160000,0.72141787474389629,exact squared-measure presentation row
124,31/100,0.31,5239/10000,0.7238093671679029,exact squared-measure presentation row
125,5/16,0.3125,135/256,0.72618437741389064,exact squared-measure presentation row
126,63/200,0.315,21231/40000,0.72854306667485347,exact squared-measure presentation row
127,127/400,0.3175,85471/160000,0.73088559296240063,exact squared-measure presentation row
