N,saturationNormalGainSquaredExact,saturationNormalGainDecimal,saturationPlanarGainSquaredExact,saturationPlanarGainDecimal,halfLimitNormalGainSquaredExact,halfLimitNormalGainDecimal,halfLimitPlanarGainSquaredExact,halfLimitPlanarGainDecimal,classification
70,1/1,1,1/4901,0.014284256782850143,1/2,0.70710678118654757,5041/19882,0.50353343576520093,exact all-index family presentation row
71,1/1,1,1/5042,0.014083110254721722,1/2,0.70710678118654757,2592/10225,0.50348419291804725,exact all-index family presentation row
72,1/1,1,1/5185,0.013887549490757718,1/2,0.70710678118654757,5329/21026,0.50343630367853365,exact all-index family presentation row
73,1/1,1,1/5330,0.013697345026974844,1/2,0.70710678118654757,2738/10805,0.50338971299251967,exact all-index family presentation row
74,1/1,1,1/5477,0.013512279797026393,1/2,0.70710678118654757,5625/22202,0.50334436875138866,exact all-index family presentation row
75,1/1,1,1/5626,0.013332148306149432,1/2,0.70710678118654757,2888/11401,0.50330022159766419,exact all-index family presentation row
76,1/1,1,1/5777,0.013156755870285522,1/2,0.70710678118654757,5929/23410,0.50325722474581891,exact all-index family presentation row
77,1/1,1,1/5930,0.012985917914454271,1/2,0.70710678118654757,3042/12013,0.50321533381690831,exact all-index family presentation row
78,1/1,1,1/6085,0.012819459325065828,1/2,0.70710678118654757,6241/24650,0.50317450668580077,exact all-index family presentation row
79,1/1,1,1/6242,0.012657213851396142,1/2,0.70710678118654757,3200/12641,0.50313470333989918,exact all-index family presentation row
80,1/1,1,1/6401,0.012499023551926019,1/2,0.70710678118654757,6561/25922,0.50309588574835773,exact all-index family presentation row
81,1/1,1,1/6562,0.01234473828166939,1/2,0.70710678118654757,3362/13285,0.50305801774089498,exact all-index family presentation row
82,1/1,1,1/6725,0.012194215216993848,1/2,0.70710678118654757,6889/27226,0.50302106489539267,exact all-index family presentation row
83,1/1,1,1/6890,0.012047318414773371,1/2,0.70710678118654757,3528/13945,0.50298499443354538,exact all-index family presentation row
84,1/1,1,1/7057,0.011903918403013953,1/2,0.70710678118654757,7225/28562,0.50294977512389649,exact all-index family presentation row
85,1/1,1,1/7226,0.011763891800361699,1/2,0.70710678118654757,3698/14621,0.50291537719165691,exact all-index family presentation row
86,1/1,1,1/7397,0.011627120962143854,1/2,0.70710678118654757,7569/29930,0.50288177223476094,exact all-index family presentation row
87,1/1,1,1/7570,0.011493493650809091,1/2,0.70710678118654757,3872/15313,0.50284893314566004,exact all-index family presentation row
88,1/1,1,1/7745,0.011362902728827269,1/2,0.70710678118654757,7921/31330,0.50281683403840349,exact all-index family presentation row
89,1/1,1,1/7922,0.011235245872283075,1/2,0.70710678118654757,4050/16021,0.50278545018059273,exact all-index family presentation row
90,1/1,1,1/8101,0.011110425303554916,1/2,0.70710678118654757,8281/32762,0.50275475792983337,exact all-index family presentation row
