replicate,index,xZone,yZone,xRole,yRole,pairClass,c0,c1,c2,c3
13,-4,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
13,-4,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,3.469446951953614e-18,-3.469446951953614e-18,0.0026887291034901842
13,-4,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,4.163336342344337e-17,-1.1102230246251565e-16,0.01944674895506482
13,-3,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
13,-3,0,1,inner-core,inner-transition,inner-core--inner-transition,0.02200509873964286,-0.04401019747928574,0.022005098739642875,0.0
13,-3,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
13,-3,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0,0.0,0.0
13,-3,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-0.003737329304983081,-0.011838830768594832,0.034889649452138904,-0.019313489378561005
13,-3,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.0005483701078793248,-0.001096740215758649,0.000548370107879324
13,-3,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,0.0,0.0,0.0
13,-3,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
13,-3,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.3877787807814457e-16,-2.220446049250313e-16,0.10093363674088623
13,-3,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.05873724723612686
13,-2,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
13,-2,0,1,inner-core,inner-transition,inner-core--inner-transition,0.003614369786777943,-0.007228739573555883,0.0036143697867779476,0.0
13,-2,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
13,-2,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,1.559820601875329e-05,-1.4991407160250969e-05,-6.776263578034403e-21
13,-2,1,1,inner-transition,inner-transition,inner-transition--inner-transition,-0.008476589188188145,0.02104091046245678,-0.01665205336034911,0.00408773208608048
13,-2,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,0.00028904833981574615,-0.0005780966796314943,0.00028904833981574827
13,-2,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-0.0005340187784284851,0.0017732657947485547,0.001239728432564922
13,-2,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
13,-2,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.1102230246251565e-15,-1.7763568394002505e-15,1.0688896905865732
13,-2,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-6.661338147750939e-16,1.3322676295501878e-15,-0.4087846263354371
13,-1,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
13,-1,0,1,inner-core,inner-transition,inner-core--inner-transition,-0.000145154173889035,0.00029030834777807,-0.0001451541738890351,0.0
13,-1,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
13,-1,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.05153669354572704,-0.010158105266472095,-5.551115123125783e-17
13,-1,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.001716650021580853,-0.005028571230042803,0.004907192395343049,-0.001595271186881098
13,-1,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-0.001732523527088858,0.003465047054177715,-0.0017325235270888573
13,-1,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-0.0922695086993231,0.09099544872740739,0.28587495020083853
13,-1,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
13,-1,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.3322676295501878e-15,-2.6645352591003757e-15,1.0887378859293193
13,-1,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,2.7755575615628914e-17,1.6653345369377348e-16,0.06695155116872853
13,0,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
13,0,0,1,inner-core,inner-transition,inner-core--inner-transition,0.0,0.0,0.0,0.0
13,0,0,2,inner-core,intermediate-plateau,inner-core--intermediate-plateau,0.0,0.0,0.0,0.0
13,0,0,3,inner-core,outer-transition,inner-core--outer-transition,0.0,0.0018448798653328538,0.0003799054203052765,3.469446951953614e-18
13,0,1,1,inner-transition,inner-transition,inner-transition--inner-transition,0.0,0.0,0.0,0.0
13,0,1,2,inner-transition,intermediate-plateau,inner-transition--intermediate-plateau,0.0,-7.52166523481162e-05,0.00015043330469623244,-7.521665234811623e-05
13,0,1,3,inner-transition,outer-transition,inner-transition--outer-transition,0.0,-0.0033169737444274545,0.008670816951865307,0.013602722993019761
13,0,2,2,intermediate-plateau,intermediate-plateau,intermediate-plateau--intermediate-plateau,0.0,0.0,0.0,0.0
13,0,2,3,intermediate-plateau,outer-transition,intermediate-plateau--outer-transition,0.0,1.6653345369377348e-16,-2.220446049250313e-16,0.19007650000015497
13,0,3,3,outer-transition,outer-transition,outer-transition--outer-transition,0.0,-9.71445146547012e-17,6.106226635438361e-16,0.05010104701761589
13,1,0,0,inner-core,inner-core,inner-core--inner-core,0.0,0.0,0.0,0.0
