sector,plot_charge,input_charge,minimum_tail_degree,exact,decimal,kind,highlight,classification
19,19,19,83,488491180881376053070332410185778545168286367884995422786878677601759462270960865295020305622674640782515057293282583600063627342398948690933888780405101393127646236673158768740734510073329156240414132501141026846394743597613955328488306406639518728951363335785306413860285349466710689176748349204650292362268951156101891302836541415122251/1417209654604689674637779806000784171713359728745188249434537769663604172355471005149706809322478590926995438271696488149673898033883043721758691289177912154377550947225444085527938160216549794659581255506659540458779729101953508776000829092121987103666683210489297466890147912089063327990417107137202362148034969600000000000000000000000000,0.34468519128006763763,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
20,20,20,82,3672323760314473972525025999057662120523928079073237567294332909769730587522747191301555291837905510361021142271472912490412836837338744531996923877693320011705297639758416676169959977624464341317492943256067503160608194415895850074538190082057614147423716757169666029877143680753734975128315069491013190528462380939986167756694882892597/10601577051552260578478892808291538885822975498013013118194828248025670569892071476154790578486341739960375223776369745201296730002340479370177849216385659062984428705564210621822826703166423277178108537737211971537176230943005389521690045914626484141166606184164274651544666438412933505520506903486018407242924032000000000000000000000000,0.34639410178854285194,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
21,21,21,81,44499128215869499972200112969906465496761807470401691942488064767862431096952953645219491502795482032986569335336000242811727512976038824853959555392696195674273084984046071094384671765208092869636430618071268682565668889660352761173751316315680790608787233146294456993185299508784734893031176072013818111588912930323565726445289481/127883249082295019974979360322887639451705934645562734698406363340140741713573121511483333656033513692687269628969639719534509290526692794408606230996385272357170048491181314215232429108853273439021525749622669523974597719069799165812900583834548548456106123307833463411900310186068518456401045147125756723200000000000000000000000000,0.34796682548496687959,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
22,22,22,83,411291856270936520189741786617449692387148326489975157024784695905691094197276322712138723186054337596883367214844877212500640592454307736916210464029974739576108517418148121000920023878208019196289634421458077294943067614106270612593170204579962590897385962576290963347723231211831890793730903639892971705620404922239206923596337218297466157/1177596542717918364136663819141890225135664015970923665693494926414286732828301967080162346112200207800776101586180167707231590171415670244324751648882076177230887404403923973862853752071300520570461031528752336223371158653732880590503916187040885000008674731543104144604635801747959592473310051131056165043267488972800000000000000000000000000,0.34926381094977232422,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
23,23,23,82,1105737747916770506695362295993010244301063926910261116075967280087076948334786413793414071367588507640909681028834139111122047517202089556619244398253263284067668294036598877254497868550904211045840235357034919433341721603150362524294942690545385647416446953479273818148096903563201610450943175569995464819152657332487320777598782016357/3153787223573899027922782757615331933997681498264740744543083918176972938411829043249708867741932325388669975036448665620523054691771767318359543245149051895166992521106058079718461032978569853622778283537385712356597048106614875601418091462017031895541553327096923809383996880992405848324178255041607306502471680000000000000000000000000,0.35060632488191101341,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
24,24,24,81,409170803921305392224416086936347441814246819939353466822952539795109203346773620268257863592421669630132643190638105730929431342726829750520241952110480553625700523716749679247556595871869127878796014751500075199250969785346341794258087603502835533409958885571285265690392496314195489966711102077436080859390496122568666273799922022024458457/1162897073900604441823625224800934061642377567733536119132392324176404377989928334576079586594756281507816431324682177352081768891218486198405392633442806947280629806617995189960202942004368787529678709030401566040726925573537414248497351359767255074558563705352830982414762024325846005370367102455808620728360674263040000000000000000000000000,0.35185470245346767149,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
25,25,25,83,9202835006060057090503473587502822498691961427957283591068378977960811816177482466231060224771572598940534816119450511468705708807809940459675905693291926268271129795010818226067419324840567207462741516575716742179225313501680778984876160280370878088403624609145720080666923923659610072704401508607572103963921558063445290135146594823580503/26080576491782823752308011469193948553137687523189223332484146728749420453766119874286470416114034770813994228563493332717391739732506769563749601735666922257038996995494181355471898537444242230202934646812474101273597267078236645553662598073239121206935688819268748402246414917150906324874728372875920035031017324544000000000000000000000000,0.35286164049938018028,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
26,26,26,82,435479217153391096488874702059617801238061789414249461933164888064556181265317932789801277338666593552331425340970675242069031475777611249950733517608117656117090986441906076131416241215359392094935890304898490598802456821544873099502255150547148574549571101064743886438403525411579353903792422888397661885147344812997538272586824651039334630797/1230352797303459539892617210672886952800304647344952225558664469495470550008049816887268938131219843065842420472333453127486709024191951772948217788773144225931868501675392523589860245891306826726333596230426996531426488088169543068945455073127733166128675638790891802585786295400367751453455349683398778423569153334968320000000000000000000000000,0.35394662255234637938,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
27,27,27,81,23707363849440248566033711527183408824847923250662188815840958451619440727543522723156538605348822413861268228641295388989409326315954759750041731334481486532293582998630917695272311247001390930456035158957304164824446393440571219053539809986743106387116844671341520344743073657015017158988287138848084559718854199305985044797664160510681644520247/66788065153359008788899597681096612298873714036527239528735956901222687372565495133432134646773196511430246173758930188222497952813625068371986747833915160961774544891318008008831752349075631224028374238981731343403135858332293147776942783159369845089865726618559135111913233151365267469154424717610781935766795638391439360000000000000000000000000,0.35496407621636155705,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
28,28,28,83,35869600458471099174088263173829529478326883524445230437884192920569452812501207089006741647478213937758421305920276788961632103109242205967584129680382862053077182252491530997250804626250732883504123420808395206794846654913102355423599270633958255447773342910113641523979457027004840231556479634675043657553538861050179616455941962620031936217819/100824743810865357749644912430521521961764404606347107762583803369319221311149251495700783561914372853078785361483719660849598754207620361101928699346613848216484496346715705417191601376559370617947794873722560300000646551330578813107248463554669323280339952661698884886965092470102572258673121912769159728916516923993227264000000000000000000000000,0.35576188049391915813,common_endpoint,False,all-order fixed-charge column: the complete core is convex in x=s/j and the separated degree prefactor is uniform for j>=J_s
