levelL,levelM,L,M,H,observationTime,additionalHeatTime,heatWitness,scaledHeatWitness,certifiedScaledHeatLower,certifiedScaledBmoLower
8,2,256,4,4096,2.0657395737169542e-08,0.015625,2.5884426888242146e-06,0.010602261253423983,0.0012980013051190082,0.00030765513656419013
8,3,256,8,8192,5.1643489342923856e-09,0.00390625,1.1160861275012285e-06,0.0091429775564900641,0.0012980013051190082,0.00030765513656419013
8,4,256,16,16384,1.2910872335730964e-09,0.0009765625,5.1567760473988906e-07,0.0084488618760583424,0.0012980013051190082,0.00030765513656419013
8,5,256,32,32768,3.227718083932741e-10,0.000244140625,2.4751368490757314e-07,0.0081105284270513566,0.0012980013051190082,0.00030765513656419013
8,6,256,64,65536,8.0692952098318525e-11,6.103515625e-05,1.2120856462541905e-07,0.0079435244912914628,0.0012980013051190082,0.00030765513656419013
8,7,256,128,131072,2.0173238024579631e-11,1.52587890625e-05,5.9971321199535129e-08,0.0078605610122654684,0.0012980013051190082,0.00030765513656419013
8,8,256,256,262144,5.0433095061449078e-12,3.814697265625e-06,2.9827932830241226e-08,0.007819213623850756,0.0012980013051190082,0.00030765513656419013
8,9,256,512,524288,1.260827376536227e-12,9.5367431640625e-07,1.4874598472277922e-08,0.0077985734838336472,0.0012980013051190082,0.00030765513656419013
8,10,256,1024,1048576,3.1520684413405674e-13,2.384185791015625e-07,7.427465246385188e-09,0.0077882617981935949,0.0012980013051190082,0.00030765513656419013
9,0,512,1,2048,8.262958294867817e-08,0.25,1.0520057035149857e-05,0.021545076807986906,0.0012980013051190082,0.00030765513656419013
9,1,512,2,4096,2.0657395737169542e-08,0.0625,3.3729093165871898e-06,0.013815436560741129,0.0012980013051190082,0.00030765513656419013
9,2,512,4,8192,5.1643489342923856e-09,0.015625,1.294167553262797e-06,0.010601820596328833,0.0012980013051190082,0.00030765513656419013
9,3,512,8,16384,1.2910872335730964e-09,0.00390625,5.580314632299616e-07,0.0091427874935596908,0.0012980013051190082,0.00030765513656419013
