mOverR,sOverM,operatorNormOverTargetFrequency,stretchEntryOverTargetFrequency
0.25,0.3981071705534973,0.9993344343257577,0.357169569150985
0.25,0.4216965034285822,0.9991774742112994,0.3750031716081798
0.25,0.4466835921509633,0.9989854191672531,0.3933660496066705
0.25,0.4731512589614805,0.9987510769733827,0.4122176427854777
0.25,0.5011872336272725,0.9984659907353955,0.4315082290867586
0.25,0.5308844442309885,0.9981202779859337,0.4511785062761643
0.25,0.5623413251903491,0.9977024656307253,0.4711593592519691
0.25,0.5956621435290106,0.9971993248202526,0.4913718550767149
0.25,0.6309573444801934,0.9965957104936596,0.5117275029766026
0.25,0.6683439175686149,0.995874410791232,0.5321288078415085
0.25,0.707945784384138,0.9950160116863734,0.5524701328897602
0.25,0.7498942093324559,0.9939987819984853,0.5726388705082454
0.25,0.7943282347242817,0.9927985834135498,0.5925169008080924
0.25,0.8413951416451951,0.9913888093206766,0.6119822967214382
0.25,0.8912509381337459,0.9897403552989555,0.6309112145765493
0.25,0.9440608762859236,0.987821623146444,0.6491798923679685
0.25,1,0.9855985596534886,0.6666666666666667
0.25,1.059253725177289,0.9830347311046401,0.683253915133511
0.25,1.122018454301964,0.9800914349189487,0.6988298359545767
0.25,1.188502227437019,0.9767278509894068,0.7132899882154611
0.25,1.258925411794168,0.9729012371185445,0.7265385371666016
0.25,1.333521432163324,0.9685671752921486,0.7384891734085088
0.25,1.412537544622754,0.9636798780805367,0.7490657024687275
0.25,1.496235656094434,0.9581925667968535,0.7582023280116649
0.25,1.584893192461114,0.9520579347011412,0.7658436751568891
0.25,1.678804018122561,0.9452287090281568,0.7719446177736093
0.25,1.778279410038923,0.937658324480502,0.7764699836610474
0.25,1.8836490894898,0.9293017176929039,0.7793942135995962
0.25,1.995262314968881,0.9201162467944312,0.7807010445926116
0.25,2.113489039836648,0.9100627325062041,0.7803832751397363
0.25,2.23872113856834,0.8991066073719545,0.7784426525308189
0.25,2.371373705661655,0.8872191481583108,0.7748899006999612
0.25,2.511886431509582,0.8743787539172478,0.7697448840934997
0.25,2.660725059798811,0.8605722197239535,0.7630368803193723
