tier,caseId,projection,N,dimension,d,beta,mu,gap,c,alpha,spectralAbscissa,spectralImagAtEdge,numericalAbscissa,frobeniusNorm,henriciRelativeDeparture,eigenvectorCondition,sampledTransientGain,sampledPeakTime,sampledLog10TransientGain,transientGainCensored,timeGridCount,resolventSampleScale,resolventPeak,sampledKreissLowerBound,epsilonRelative,pseudoRightExcursion,pseudospectralAbscissaLowerSample,projectionRankRemoved,qStarCompressionLeakage,finiteDimensionalOnly
broad,B0277,unprojected,18,37,0.25,0.01,0.0001,0.0002,4.0,1.0,1.3014197627870792,2.692556827528082,3786.2236529572046,7631.742086045451,0.9925490668102851,2038.2260612432042,,,,,,,,,,,,0,2.8552005641590434,True
broad,B0277,qstar-Wxx,18,36,0.25,0.01,0.0001,0.0002,4.0,1.0,0.0033728549036151226,-4.363184513907138e-17,0.03203127013731561,929.904849098987,0.009537148691107944,2.6767513264234073,,,,,,,,,,,,1,1.499751814022349,True
broad,B0277,span-sin1-sin2,18,35,0.25,0.01,0.0001,0.0002,4.0,1.0,-0.00020000000003145044,-3.693464959829224e-15,-7.500547057253281e-05,929.900097202788,0.009327517482697865,1.4283372462961479,,,,,,,,,,,,2,0.033308882456095916,True
broad,B0278,unprojected,18,37,0.25,0.01,0.0001,0.0002,128.0,0.5,28.916753022640513,43.98271830683075,121196.58063702681,242397.91591582357,0.9999927766386911,12846.013980270363,,,,,,,,,,,,0,3.2974211996220664,True
broad,B0278,qstar-Wxx,18,36,0.25,0.01,0.0001,0.0002,128.0,0.5,0.6241789636473793,-2.8901186256364386e-14,13.24893338852184,951.6353748455905,0.2717680058803479,3138.2499334992126,,,,,,,,,,,,1,1.6030348137214419,True
broad,B0278,span-sin1-sin2,18,35,0.25,0.01,0.0001,0.0002,128.0,0.5,0.02260206001918113,-3.805708983532365e-15,6.614610300263885,950.4923369174709,0.26994181530825184,2407.4169160280753,,,,,,,,,,,,2,0.3884067159740283,True
broad,B0279,unprojected,18,37,0.25,0.01,0.0001,0.0002,4096.0,0.24999999999999997,398.8686779963352,-1206.374522840292,3878328.019255838,7756676.288874036,0.9999996280941574,19017.720334400143,,,,,,,,,,,,0,21.577165021572547,True
broad,B0279,qstar-Wxx,18,36,0.25,0.01,0.0001,0.0002,4096.0,0.24999999999999997,18.95902020977073,-3.5043986740494474e-12,503.9240510140173,6540.149850029937,0.21311350288314967,21.60785767925925,,,,,,,,,,,,1,12.836073864762996,True
broad,B0279,span-sin1-sin2,18,35,0.25,0.01,0.0001,0.0002,4096.0,0.24999999999999997,21.181970856163158,1.8989160717747925e-13,342.7973763647278,6368.29242961908,0.16774376513636371,7.4446470917984975,,,,,,,,,,,,2,12.39293386372982,True
broad,B0280,unprojected,18,37,0.25,0.01,0.0001,0.0002,131072.0,0.12499999999999999,11660.66449818833,-38892.44029505666,124106534.05553076,248213639.46207413,0.9999996317403,19262.08849545777,,,,,,,,,,,,0,625.6789821497604,True
broad,B0280,qstar-Wxx,18,36,0.25,0.01,0.0001,0.0002,131072.0,0.12499999999999999,2109.930491017572,-29444.275084240126,16218.517028044516,207160.68249524428,0.17354194522508362,5.628085566268819,,,,,,,,,,,,1,401.17547247628454,True
broad,B0280,span-sin1-sin2,18,35,0.25,0.01,0.0001,0.0002,131072.0,0.12499999999999999,674.2907797732975,5.813489088729038e-10,11125.098824165889,201603.41765232247,0.11149609497976,3.996089341353092,,,,,,,,,,,,2,396.5763713379633,True
broad,B0281,unprojected,18,37,0.25,0.01,0.01,0.0101,4.0,1.0,0.32838344048468987,-1.3722439523466902e-19,73.31851259148391,941.8225528792304,0.15851750364330558,205.69302876784647,,,,,,,,,,,,0,2.863414911741378,True
broad,B0281,qstar-Wxx,18,36,0.25,0.01,0.01,0.0101,4.0,1.0,-0.007955633500473663,1.4403719864524246e-16,0.02132533129495452,929.9497190891929,0.009535969070821637,2.6744441658974063,,,,,,,,,,,,1,1.4998277723174989,True
broad,B0281,span-sin1-sin2,18,35,0.25,0.01,0.01,0.0101,4.0,1.0,-0.010099999999972539,1.23093530421444e-15,-0.009979889993722697,929.944947554735,0.009326847729780959,1.42829818841709,,,,,,,,,,,,2,0.037452201240964426,True
broad,B0282,unprojected,18,37,0.25,0.01,0.01,0.0101,128.0,0.5,33.30697860450156,-6.14105417248491e-15,2383.335030573197,4863.29839399734,0.9820596938530717,3421.7586485459105,,,,,,,,,,,,0,3.321324355365566,True
broad,B0282,qstar-Wxx,18,36,0.25,0.01,0.01,0.0101,128.0,0.5,0.6006428830148897,1.881971767444277e-14,13.04815241290658,951.6681880714094,0.27175098937014275,3140.5692855290413,,,,,,,,,,,,1,1.65104615413125,True
broad,B0282,span-sin1-sin2,18,35,0.25,0.01,0.01,0.0101,128.0,0.5,-0.00559463938385575,-5.537176007541098e-15,6.492668653674745,950.5326941355611,0.2699080794209822,2419.2788848736177,,,,,,,,,,,,2,0.5561124002352675,True
broad,B0283,unprojected,18,37,0.25,0.01,0.01,0.0101,4096.0,0.24999999999999997,1122.6190617155466,-1.2505552149377763e-12,76304.61990898493,152756.81528614328,0.9990704551315334,226.9937839458543,,,,,,,,,,,,0,24.75706816867751,True
broad,B0283,qstar-Wxx,18,36,0.25,0.01,0.01,0.0101,4096.0,0.24999999999999997,18.686431462515117,-1.0821945290632738e-13,497.72872364319943,6538.5107495606735,0.2117081781147283,21.16918092355604,,,,,,,,,,,,1,17.952177017898755,True
broad,B0283,span-sin1-sin2,18,35,0.25,0.01,0.01,0.0101,4096.0,0.24999999999999997,20.707265163035103,8.008204203509189e-14,339.0257377099804,6367.759497352675,0.16702904158576673,7.454525160113665,,,,,,,,,,,,2,17.642261564262313,True
broad,B0284,unprojected,18,37,0.25,0.01,0.01,0.0101,131072.0,0.12499999999999999,35980.67281274625,6.278282113492108e-11,2441785.760151607,4888127.598620407,0.9990742617005398,243.85870094227408,,,,,,,,,,,,0,737.1559256635088,True
broad,B0284,qstar-Wxx,18,36,0.25,0.01,0.01,0.0101,131072.0,0.12499999999999999,2084.176879461609,29476.78951929061,16020.662163159568,207107.4873737031,0.17166448400110923,5.55032294056246,,,,,,,,,,,,1,567.59059160651,True
broad,B0284,span-sin1-sin2,18,35,0.25,0.01,0.01,0.0101,131072.0,0.12499999999999999,660.0004317182004,1.0325773991933368e-11,11004.810402532377,201585.96683365144,0.110372486888721,3.977765074726426,,,,,,,,,,,,2,564.4254840029292,True
broad,B0285,unprojected,18,37,0.25,0.01,0.1,0.10010000000000001,4.0,1.0,0.48141845793590166,-1.1942379948321326e-16,5.980608956086454,930.4715612177949,0.01789379746180785,20.55609863761587,,,,,,,,,,,,0,2.9408825704125623,True
broad,B0285,qstar-Wxx,18,36,0.25,0.01,0.1,0.10010000000000001,4.0,1.0,-0.10973342666476475,1.1882605073692717e-17,-0.07489265664479541,930.3577199630384,0.009526813387498768,2.658306744170594,,,,,,,,,,,,1,1.5046140667050558,True
broad,B0285,span-sin1-sin2,18,35,0.25,0.01,0.1,0.10010000000000001,4.0,1.0,-0.10010000000001952,8.564864052745118e-16,-0.10001492212243297,930.3527534767858,0.009321327187225436,1.4281622179600184,,,,,,,,,,,,2,0.12771077005945342,True
broad,B0286,unprojected,18,37,0.25,0.01,0.1,0.10010000000000001,128.0,0.5,32.02584742388431,-3.129593013562427e-14,226.64499571787968,1054.580954182241,0.49309052552561,1314.295440504235,,,,,,,,,,,,0,5.019741137938335,True
broad,B0286,qstar-Wxx,18,36,0.25,0.01,0.1,0.10010000000000001,128.0,0.5,0.3940121856796973,2.3279379217103663e-14,11.393714788385855,951.9837697001976,0.2716242209455083,3377.7125266186613,,,,,,,,,,,,1,4.099673589310621,True
broad,B0286,span-sin1-sin2,18,35,0.25,0.01,0.1,0.10010000000000001,128.0,0.5,-0.10010000000005967,-1.6918061502709407e-14,5.485279089938138,950.9053006554061,0.2696231631660454,2535.241948609376,,,,,,,,,,,,2,3.795799406494471,True
broad,B0287,unprojected,18,37,0.25,0.01,0.1,0.10010000000000001,4096.0,0.24999999999999997,1054.6879462343072,-5.919173258339932e-13,7294.774923588057,15918.182420813675,0.9108991751289942,18.83899944347075,,,,,,,,,,,,0,122.22098875285945,True
broad,B0287,qstar-Wxx,18,36,0.25,0.01,0.1,0.10010000000000001,4096.0,0.24999999999999997,16.38606474500307,-8.811567076461417e-14,446.8720996001046,6526.154769679668,0.20006885405794855,14.39974837034549,,,,,,,,,,,,1,121.33012401550566,True
broad,B0287,span-sin1-sin2,18,35,0.25,0.01,0.1,0.10010000000000001,4096.0,0.24999999999999997,16.981896938289932,-5.938207428156891e-15,307.95426426491457,6363.775628065425,0.1612880990550559,7.5399340790393055,,,,,,,,,,,,2,121.28945260505648,True
broad,B0288,unprojected,18,37,0.25,0.01,0.1,0.10010000000000001,131072.0,0.12499999999999999,33780.736624524965,1.6436903026273983e-11,233475.1971449229,508511.95905229304,0.9109667194493829,16.175028262647423,,,,,,,,,,,,0,3901.352012205746,True
broad,B0288,qstar-Wxx,18,36,0.25,0.01,0.1,0.10010000000000001,131072.0,0.12499999999999999,1854.1788910223802,29723.87016296578,14396.874212962355,206706.1546648062,0.15617667960716863,5.315839308677158,,,,,,,,,,,,1,3881.4671586535574,True
broad,B0288,span-sin1-sin2,18,35,0.25,0.01,0.1,0.10010000000000001,131072.0,0.12499999999999999,548.4255334622517,1.143670310336128e-13,10014.196510163027,201455.16968568493,0.101092047443953,3.9318159401148405,,,,,,,,,,,,2,3881.0901694406853,True
broad,B0289,unprojected,18,37,0.25,0.05,1e-06,0.0025010000000000006,4.0,1.0,0.6886436529094774,2.563073646641824,301.17872768296854,1109.339311864808,0.545269104381357,198.99789144102783,,,,,,,,,,,,0,2.915535071021685,True
broad,B0289,qstar-Wxx,18,36,0.25,0.05,1e-06,0.0025010000000000006,4.0,1.0,0.018491824675508743,-3.1251555947944066e-16,0.03723014844682566,929.9370660100727,0.009539019071512184,2.6284025462382106,,,,,,,,,,,,1,1.515682983659458,True
broad,B0289,span-sin1-sin2,18,35,0.25,0.05,1e-06,0.0025010000000000006,4.0,1.0,-0.0025009999999837025,-8.476770163136485e-17,0.0008443202770563528,929.9321968727347,0.009328934664048051,1.4314289734105705,,,,,,,,,,,,2,0.16549324706948518,True
broad,B0290,unprojected,18,37,0.25,0.05,1e-06,0.0025010000000000006,128.0,0.5,10.416890351827506,53.68868659966551,9675.080236708342,19378.50132967635,0.9988715621644995,24119.106065676602,,,,,,,,,,,,0,5.455125056335194,True
broad,B0290,qstar-Wxx,18,36,0.25,0.05,1e-06,0.0025010000000000006,128.0,0.5,3.197574864635644,-2.1603770822956588e-14,15.207520041434297,951.6920291381837,0.2719616347618279,8423.353329522348,,,,,,,,,,,,1,2.6607378547960927,True
broad,B0290,span-sin1-sin2,18,35,0.25,0.05,1e-06,0.0025010000000000006,128.0,0.5,2.4012640750409786,8.102389824576839e-15,8.294085463029633,950.5398751893758,0.2697949997444409,2227.385346212154,,,,,,,,,,,,2,1.9714052656776668,True
broad,B0291,unprojected,18,37,0.25,0.05,1e-06,0.0025010000000000006,4096.0,0.24999999999999997,35.528842750538935,-1745.1213881510757,309640.11850660905,619398.3392866127,0.9999363714203933,3851.138819124449,,,,,,,,,,,,0,100.43593738450186,True
broad,B0291,qstar-Wxx,18,36,0.25,0.05,1e-06,0.0025010000000000006,4096.0,0.24999999999999997,97.53147549954184,-4.981786772302276e-13,563.8697504813372,6543.847984018193,0.21522733410275094,18.69898735303574,,,,,,,,,,,,1,63.938573331601646,True
broad,B0291,span-sin1-sin2,18,35,0.25,0.05,1e-06,0.0025010000000000006,4096.0,0.24999999999999997,102.60959133998347,-4.202070056143535e-14,381.3278703802712,6371.0517822147685,0.16843366422260403,7.50725925965776,,,,,,,,,,,,2,63.02728233723916,True
broad,B0292,unprojected,18,37,0.25,0.05,1e-06,0.0025010000000000006,131072.0,0.12499999999999999,119.62814865038182,55735.506037759646,9908521.34911158,19820724.5410826,0.9999366354094944,11789.532860876672,,,,,,,,,,,,0,3151.8803231133024,True
broad,B0292,qstar-Wxx,18,36,0.25,0.05,1e-06,0.0025010000000000006,131072.0,0.12499999999999999,3160.2105806531836,-1.1696029284254814e-10,18132.50191230991,207280.02527747068,0.17599226576487856,5.6341445907630945,,,,,,,,,,,,1,2038.8685784452578,True
broad,B0292,span-sin1-sin2,18,35,0.25,0.05,1e-06,0.0025010000000000006,131072.0,0.12499999999999999,3282.870884776255,1.3354319038293095e-11,12341.849201416713,201692.81977684243,0.11371519431495798,3.866497686779183,,,,,,,,,,,,2,2017.0051685960227,True
broad,B0293,unprojected,18,37,0.25,0.05,0.0001,0.0026000000000000003,4.0,1.0,0.6783270539501661,-2.5235445631979583,289.6448797481171,1096.9327540694896,0.5304087667867234,193.49648271059786,,,,,,,,,,,,0,2.9156065601385674,True
broad,B0293,qstar-Wxx,18,36,0.25,0.05,0.0001,0.0026000000000000003,4.0,1.0,0.01837398085335159,4.635988241285013e-16,0.037119761099514655,929.9375146803197,0.009539006053317088,2.6283930999028624,,,,,,,,,,,,1,1.5156830356394597,True
broad,B0293,span-sin1-sin2,18,35,0.25,0.05,0.0001,0.0026000000000000003,4.0,1.0,-0.00260000000003127,1.1822807640750565e-15,0.0007439304064539059,929.9326453600469,0.009328927154532735,1.4314280304185687,,,,,,,,,,,,2,0.16550386982087567,True
broad,B0294,unprojected,18,37,0.25,0.05,0.0001,0.0026000000000000003,128.0,0.5,11.105422137657099,52.5546953360852,9305.99440536447,18641.252202805852,0.9987808382585323,23316.388991127133,,,,,,,,,,,,0,5.4544276322925604,True
broad,B0294,qstar-Wxx,18,36,0.25,0.05,0.0001,0.0026000000000000003,128.0,0.5,3.1968827646052795,-5.137450354948794e-15,15.205069066342729,951.6923440890195,0.27196137737044795,8424.866087559496,,,,,,,,,,,,1,2.6600096451188904,True
broad,B0294,span-sin1-sin2,18,35,0.25,0.05,0.0001,0.0026000000000000003,128.0,0.5,2.4005075471391324,4.472330719361438e-16,8.292511505457659,950.5402707041205,0.269794671172054,2227.5299908383904,,,,,,,,,,,,2,1.9704546603032407,True
broad,B0295,unprojected,18,37,0.25,0.05,0.0001,0.0026000000000000003,4096.0,0.24999999999999997,99.89537085259008,-1680.1147500147847,297829.3767089558,595778.1055381878,0.9999316721653113,2296.468578770849,,,,,,,,,,,,0,100.40349657326158,True
broad,B0295,qstar-Wxx,18,36,0.25,0.05,0.0001,0.0026000000000000003,4096.0,0.24999999999999997,97.516185856518,-5.400866568134704e-13,563.7937724423477,6543.829652786598,0.2152117591434271,18.689896526028598,,,,,,,,,,,,1,63.906528601419666,True
broad,B0295,span-sin1-sin2,18,35,0.25,0.05,0.0001,0.0026000000000000003,4096.0,0.24999999999999997,102.58831497633079,-3.518400835198222e-14,381.2803131023425,6371.045197647831,0.16842602969535345,7.507363827242327,,,,,,,,,,,,2,62.99496892164257,True
broad,B0296,unprojected,18,37,0.25,0.05,0.0001,0.0026000000000000003,131072.0,0.12499999999999999,2923.796809010195,-53726.63204511713,9530577.616629012,19064876.176365316,0.9999319980890707,3187.1476643272435,,,,,,,,,,,,0,3150.8306543074627,True
broad,B0296,qstar-Wxx,18,36,0.25,0.05,0.0001,0.0026000000000000003,131072.0,0.12499999999999999,3159.7276518159783,-9.63469066087395e-11,18130.074636452227,207279.43061985596,0.17597237254768344,5.633258116339906,,,,,,,,,,,,1,2037.8385272774908,True
broad,B0296,span-sin1-sin2,18,35,0.25,0.05,0.0001,0.0026000000000000003,131072.0,0.12499999999999999,3282.1884169920354,1.6210774868457906e-11,12340.332929671556,201692.60463925474,0.11370318487201785,3.866379241957359,,,,,,,,,,,,2,2015.9693409760848,True
broad,B0297,unprojected,18,37,0.25,0.05,0.01,0.0125,4.0,1.0,0.2607446754089677,1.2602438766530215,58.88728022168838,937.7284320642125,0.12853583804671795,91.22647656505448,,,,,,,,,,,,0,2.92280823529266,True
broad,B0297,qstar-Wxx,18,36,0.25,0.05,0.01,0.0125,4.0,1.0,0.0066120523815728855,-5.922493244701799e-16,0.0261034047747441,929.9823827754583,0.009537726959572708,2.627477491503176,,,,,,,,,,,,1,1.5157453951847948,True
broad,B0297,span-sin1-sin2,18,35,0.25,0.05,0.01,0.0125,4.0,1.0,-0.01249999999998958,1.154070111280091e-16,-0.009291444426554708,929.9774949435017,0.009328185282210046,1.431338772568744,,,,,,,,,,,,2,0.16706931545810488,True
broad,B0298,unprojected,18,37,0.25,0.05,0.01,0.0125,128.0,0.5,13.744080403408912,-22.243276114435893,1921.488924788962,3963.551638698047,0.9728978613453492,8972.061951126436,,,,,,,,,,,,0,5.401812606483801,True
broad,B0298,qstar-Wxx,18,36,0.25,0.05,0.01,0.0125,128.0,0.5,3.128372011928856,-3.3791285986233036e-15,14.962725530517554,951.7240863539672,0.27193619263748803,8556.512540280095,,,,,,,,,,,,1,2.6209298443252553,True
broad,B0298,span-sin1-sin2,18,35,0.25,0.05,0.01,0.0125,128.0,0.5,2.3257952103053756,2.491130880629181e-14,8.136903739009552,950.5799129474826,0.2697620983318479,2242.268452748333,,,,,,,,,,,,2,1.9206473349230044,True
broad,B0299,unprojected,18,37,0.25,0.05,0.01,0.0125,4096.0,0.24999999999999997,516.4282013373951,-2.8618439738150204e-33,61525.682703693405,123296.57939069023,0.9986245848766576,592.7703082537565,,,,,,,,,,,,0,98.08639928647338,True
broad,B0299,qstar-Wxx,18,36,0.25,0.05,0.01,0.0125,4096.0,0.24999999999999997,96.00380295076624,-5.803646853116715e-14,556.2839177546282,6542.032883759066,0.21367219029137466,17.81806992499621,,,,,,,,,,,,1,62.128212187114535,True
