certificateId,s,d,mu,c,gain,bound,sourceCommit,certificateCommit
R073A-XMU-N05-M01-C05-T01,0,0.10000000000000001,0.001,4,1.1224506089120994,3.7636829338213946,pending,pending
R073A-XMU-N05-M01-C05-T02,0,0.75,0.001,4,1.5986790520036189,268.56957202641064,pending,pending
R073A-XMU-N05-M01-C05-T03,0.5,2,0.001,4,1.2944530629210798,35.405503584680886,pending,pending
R073A-XMU-N05-M02-C01-T01,0,0.10000000000000001,0.050000000000000003,-4,1.1099577336191897,3.7452859967506837,pending,pending
R073A-XMU-N05-M02-C01-T02,0,0.75,0.050000000000000003,-4,1.4925335901090966,258.87879885318574,pending,pending
R073A-XMU-N05-M02-C01-T03,0.5,2,0.050000000000000003,-4,1.1773276773134105,32.896533140478212,pending,pending
R073A-XMU-N05-M02-C02-T01,0,0.10000000000000001,0.050000000000000003,-1,1.0064508933223406,1.3859342977443654,pending,pending
R073A-XMU-N05-M02-C02-T02,0,0.75,0.050000000000000003,-1,1.0032637525257277,3.8999549372567386,pending,pending
R073A-XMU-N05-M02-C02-T03,0.5,2,0.050000000000000003,-1,0.94374028979155733,2.2639064054498426,pending,pending
R073A-XMU-N05-M02-C03-T01,0,0.10000000000000001,0.050000000000000003,0,0.99501247919268221,0.99501247919268232,pending,pending
R073A-XMU-N05-M02-C03-T02,0,0.75,0.050000000000000003,0,0.96319441772082282,0.96319441772082182,pending,pending
R073A-XMU-N05-M02-C03-T03,0.5,2,0.050000000000000003,0,0.92774348632855386,0.92774348632855286,pending,pending
R073A-XMU-N05-M02-C04-T01,0,0.10000000000000001,0.050000000000000003,1,1.0064508933223402,1.3859342977443654,pending,pending
R073A-XMU-N05-M02-C04-T02,0,0.75,0.050000000000000003,1,1.0032637525257282,3.8999549372567386,pending,pending
R073A-XMU-N05-M02-C04-T03,0.5,2,0.050000000000000003,1,0.94374028979155677,2.2639064054498426,pending,pending
R073A-XMU-N05-M02-C05-T01,0,0.10000000000000001,0.050000000000000003,4,1.1099577336191899,3.7452859967506837,pending,pending
