degree,exact,decimal
662,1328131840/239609907,5.54289201406017
663,591908560/106815267,5.541422837991877
664,83466355/15066243,5.539958103689155
665,214261456/38685843,5.538497791039477
666,16577920/2994003,5.537041880051556
667,5385975760/972972243,5.535590350854439
668,337545340/60993243,5.534143183696594
669,601721680/108757323,5.532700358945025
670,54302848/9817443,5.531261857084375
671,5445094480/984677067,5.529827658716053
672,9479035/1714608,5.528397744557356
673,5474773840/990555723,5.526972095440612
674,1372410880/248375403,5.525550692312314
675,302032/54675,5.524133516232282
676,344965180/62462907,5.522720548372813
677,5534372560/1002365523,5.521311770017852
678,154147840/27925803,5.519907162562165
679,5564291920/1008296667,5.518506707510519
680,3487051/632043,5.51711038647687
681,621587920/112693923,5.515718181183558
682,1402330240/254306547,5.514330073460515
683,5624370640/1020211443,5.512946045244466
684,4351420/789507,5.51156607857815
685,226181200/41047803,5.510190155609546
686,1417409920/257298363,5.508818258591098
687,631641040/114688467,5.507450369878952
688,89061235/16175052,5.506086471932208
689,5715088720/1038214827,5.504726547312159
690,6366976/1156923,5.503370578681555
691,5745488080/1044250947,5.502018548803863
692,360044860/65454723,5.500670440542542
693,71308240/12966723,5.499326236860307
694,1447809280/263334483,5.497985920818429
695,232261072/42255027,5.496649475576007
696,10107355/1839267,5.49531688438927
697,5837166160/1062464283,5.493988130610881
698,1463128960/266378787,5.492663197689237
699,651987280/118730043,5.491342069167784
700,14708188/2679075,5.49002472868434
701,5898684880/1074693987,5.488711159970415
702,2028160/369603,5.48740134685054
703,5929564240/1080835083,5.486095273241607
704,92891155/16936128,5.48479292315221
705,26491216/4831083,5.483494280681992
706,1494008320/272519883,5.482199330020995
707,5991562960/1093169763,5.480908055449023
708,41716060/7612947,5.479620441335005
709,6022682320/1099363347,5.478336472136359
710,60382720/11024667,5.477056132398375
711,74739280/13649067,5.47577940675359
712,94836115/17323227,5.474506279921171
713,6085161040/1111803003,5.473236736706314
714,169467520/30970107,5.471970761999628
715,244660816/44721963,5.470708340776544
716,383264380/70073667,5.46944945809672
717,683106640/124923627,5.468194099103447
718,1540927360/281862747,5.466942249023068
719,6179479120/1130593707,5.465693893164399
720,47803/8748,5.464449016918152
721,6211078480/1136892267,5.463207605756368
722,1556727040/285012027,5.461969645231848
723,693639760/127023147,5.460735120977597
724,391164220/71648307,5.459504018706262
725,250980688/45981675,5.45827632420959
726,174734080/32019867,5.457052023357873
727,6306356560/1155892923,5.455831102099411
728,98786035/18110547,5.454613546459972
729,2898160/531441,5.453399342542258
730,63542656/11654523,5.45218847652538
731,6370275280/1168647507,5.45098093466433
732,44349340/8137827,5.449776703289466
733,6402354640/1175051043,5.448575768805985
734,1604606080/294564843,5.447378117693428
735,28597840/5250987,5.446183736505156
736,100790995/18510768,5.44499261186786
737,6466753360/1187910603,5.443804730481053
738,20008960/3676347,5.44262007911658
739,6499072720/1194366627,5.441438644618124
740,16288156/2994003,5.440260413900721
741,725719120/133426683,5.439085373950276
742,1636925440/301020867,5.437913511823085
743,6563951440/1207331163,5.436744814645358
744,11423995/2101707,5.435579269612748
745,263860432/48553587,5.434416863989884
746,1653205120/304275123,5.433257585109907
747,81841360/15066243,5.432101420374011
748,415343740/76477203,5.430948357250983
749,6661869520/1226909187,5.429798383276757
750,7420288/1366875,5.428651486053955
751,6694668880/1233470187,5.427507653251452
752,104860915/19324332,5.426366872603928
753,747505360/137783187,5.425229131911428
754,1686004480/310836123,5.424094419038935
755,270420304/49865787,5.42296272191593
756,581020/107163,5.421834028535969
757,6793546960/1253258163,5.420708326956255
758,1702524160/314142867,5.419585605297223
759,758518480/139987683,5.418465851742114
760,4277035/789507,5.417349054536565
761,6859865680/1266537627,5.4162352019882
762,191013760/35274123,5.415124282466214
763,6893145040/1273203603,5.414016284400979
764,431863420/79783947,5.412911196283633
765,3420496/632043,5.411809006665686
766,1735803520/320808843,5.410709704158623
767,6959943760/1286588043,5.409613277433514
768,12112315/2239488,5.408519715220621
