delta,normalized_negative_mass,negative_to_signed_ratio,leading_asymptote
0.049471307833299359,0.29396382921476888,5.9421074980536597,6.4342322878623168
0.051209162050435679,0.29312276090328915,5.7240296299828888,6.2158776562344196
0.053008064527912999,0.29225316102017995,5.5133716656695739,6.0049331930648968
0.054870159801247598,0.29135409988177907,5.3098824741376909,5.8011474239692884
0.056797667740331376,0.29042462035060462,5.1133194707637157,5.6042774086965279
0.058792886195817663,0.28946373724527963,4.9234483281052315,5.4140884515112342
0.060858193738470581,0.28847043675682604,4.740042696575693,5.2303538214045924
0.06299605249474366,0.28744367587353897,4.5628839346326195,5.0528544818002716
0.065209011081968263,0.28638238181687947,4.3917608481578485,4.8813788294331371
0.067499707646650725,0.28528545149107148,4.2264694387195183,4.7157224420894943
0.069870873009500539,0.28415175094935646,4.0668126604160157,4.5556878349081051
0.07232533392093865,0.28298011488015323,3.9126001850124701,4.4010842249514717
0.074866016430967075,0.28176934611668486,3.763648175090236,4.2517273037667209
0.077495949377416856,0.28051821517398307,3.6197790649394772,4.1074390176649613
0.080218267996733303,0.27922545981755353,3.4808213489341893,3.9680473554571525
0.083036217661602643,0.27788978466839453,3.3466093771380376,3.833386143393458
0.085953157749876066,0.27650986084950613,3.2169831578980568,3.7032948470616214
0.088972565649403257,0.27508432567950958,3.0917881671916763,3.5776183800081931
0.092098040903550005,0.27361178241952255,2.9708751645006592,3.4562069188544613
0.095333309502341632,0.27209080008001013,2.8541000149934677,3.3389157246866814
0.09868222832434792,0.2705199132949529,2.7413235178051543,3.2256049705076828
0.10214878973460531,0.26889762227135627,2.6324112402113058,3.1161395745441287
0.1057371263440564,0.26722239282286536,2.5272333574997541,3.0103890392107604
0.10945151593618298,0.26549265649705778,2.4256644983506348,2.9082272955395623
0.11329638656670275,0.26370681080687358,2.3275835955422757,2.8095325528884998
0.11727632184241257,0.26186321957760178,2.2328737418067615,2.7141871537505455
0.12139606638546853,0.25996021342190351,2.1414220506655686,2.6220774334899977
0.12566053148961803,0.25799609035650223,2.0531195220817415,2.5330935848388414
0.1300748009751285,0.25596911657543742,1.9678609127711144,2.4471295269915845
0.13464413724938876,0.2538775273961687,1.8855446110210878,2.3640827791425854
0.13937398758041306,0.25171952839633199,1.8060725158710134,2.2838543383150243
0.14426999059072135,0.24949329676062906,1.7293499205140663,2.206348561335961
0.1493379829793427,0.24719698285916675,1.6552853997858032,2.131473050816691
0.15458400647995027,0.24482871208059187,1.5837907016101724,2.0591385450025572
0.16001431506342739,0.24238658694560139,1.5147806422789287,1.9892588113608283
0.16563538239344819,0.23986868952887888,1.4481730054457678,1.9217505437798392
0.17145390954396114,0.23727308422024243,1.3838884447216708,1.856533263256825
0.17747683298777855,0.2345978208588155,1.3218503897630989,1.7935292219560295
0.18371133286579067,0.23184093827740218,1.2619849557499665,1.732663310522766
0.19016484154666802,0.22900046829798501,1.2042208561554024,1.6738629685428723
0.19684505248725054,0.22607444022344478,1.1484893187147154,1.6170580980408806
0.20375992940419213,0.22306088587525721,1.094724004506197,1.5621809799137172
