N,epsilon,absoluteLambda,fastStep,physicalTime,fastTime,finiteTopDimension,finiteTopSpectralAbscissa,finiteTopRealGap,projectorIdempotenceResidual,projectorCommutatorResidual,logFullNorm,logTopConorm,normalizedFullRate,normalizedTopRate,topConormNoLargerThanFullNorm,r073bUpperLogBound,r073bUpperSlack
96,0.01,100.0,0.25,0.009,0.8999999999999999,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.21698133206405923,0.13897986578757426,0.24109036896006583,0.15442207309730474,True,31.25,31.03301866793594
96,0.01,100.0,0.25,0.01,1.0,1,0.1563164070149098,0.14833990013772147,1.4483464547614035e-16,3.6335135739564154e-15,0.24048210130870484,0.1542183860701296,0.24048210130870484,0.1542183860701296,True,31.25,31.009517898691296
96,0.005,200.0,0.25,0.0,0.0,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.0,0.0,0.0,0.0,True,62.5,62.5
96,0.005,200.0,0.25,0.001,0.2,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.05105473958464457,0.03259980758941605,0.25527369792322285,0.16299903794708026,True,62.5,62.44894526041536
96,0.005,200.0,0.25,0.002,0.4,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.10189790540836419,0.06511628091200405,0.25474476352091047,0.16279070228001014,True,62.5,62.398102094591636
96,0.005,200.0,0.25,0.003,0.6,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.15245142793652833,0.09755049863392506,0.2540857132275472,0.1625841643898751,True,62.5,62.347548572063474
96,0.005,200.0,0.25,0.004,0.8,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.20264220683064127,0.12990349841507576,0.2533027585383016,0.1623793730188447,True,62.5,62.29735779316936
96,0.005,200.0,0.25,0.005,1.0,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.25240353643812896,0.16217627963295755,0.25240353643812896,0.16217627963295755,True,62.5,62.24759646356187
96,0.005,200.0,0.25,0.006,1.2,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.3016761932694645,0.19436980586282648,0.25139682772455374,0.16197483821902206,True,62.5,62.198323806730535
96,0.005,200.0,0.25,0.007,1.4,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.35040915722617827,0.22648500713535635,0.2502922551615559,0.16177500509668313,True,62.5,62.14959084277382
96,0.005,200.0,0.25,0.008,1.6,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.3985599696602238,0.25852278199150325,0.24909998103763986,0.16157673874468953,True,62.5,62.101440030339774
96,0.005,200.0,0.25,0.009,1.7999999999999998,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.44609475764756135,0.29048399935280367,0.24783042091531188,0.1613799996404465,True,62.5,62.053905242352435
96,0.005,200.0,0.25,0.01,2.0,1,0.1632092255858502,0.13895278247729553,3.645062611253548e-16,4.023772687288028e-15,0.49298797277644824,0.3223695002239363,0.24649398638822412,0.16118475011196814,True,62.5,62.00701202722355
96,0.002,500.0,0.25,0.0,0.0,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.0,0.0,0.0,0.0,True,156.25,156.25
96,0.002,500.0,0.25,0.001,0.5,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.1308947827524678,0.08364299221563876,0.2617895655049356,0.1672859844312775,True,156.25,156.11910521724752
96,0.002,500.0,0.25,0.002,1.0,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.26023207492793365,0.16708319466042276,0.26023207492793365,0.16708319466042276,True,156.25,155.98976792507207
96,0.002,500.0,0.25,0.003,1.5,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.38696901087340185,0.250324709368847,0.2579793405822679,0.16688313957923132,True,156.25,155.8630309891266
96,0.002,500.0,0.25,0.004,2.0,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.5103569121059841,0.33337124931040196,0.25517845605299205,0.16668562465520098,True,156.25,155.73964308789402
96,0.002,500.0,0.25,0.005,2.5,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.6299681091668896,0.41622622330717096,0.25198724366675584,0.1664904893228684,True,156.25,155.6200318908331
96,0.002,500.0,0.25,0.006,3.0,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.745658561467722,0.49889279837519274,0.248552853822574,0.1662975994583976,True,156.25,155.50434143853226
96,0.002,500.0,0.25,0.007,3.5,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.8574981235801847,0.5813739446102711,0.24499946388005278,0.1661068413172203,True,156.25,155.39250187641983
96,0.002,500.0,0.25,0.008,4.0,1,0.16749174665800343,0.13337106487396244,2.0320469350371811e-16,1.0289415140260262e-14,0.9656964748967194,0.6636724667617405,0.24142411872417985,0.16591811669043513,True,156.25,155.28430352510327
