lengthScale,amplitudeOverViscosity,ratioFactor
1.830206106311e-01,1.00000000,3.349654391578e-02
1.883649089490e-01,1.00000000,3.548133892336e-02
1.938652635952e-01,1.00000000,3.758374042884e-02
1.995262314969e-01,1.00000000,3.981071705535e-02
2.053525026457e-01,1.00000000,4.216965034286e-02
2.113489039837e-01,1.00000000,4.466835921510e-02
2.175204034020e-01,1.00000000,4.731512589615e-02
2.238721138568e-01,1.00000000,5.011872336273e-02
2.304092976056e-01,1.00000000,5.308844442310e-02
2.371373705662e-01,1.00000000,5.623413251903e-02
2.440619068042e-01,1.00000000,5.956621435290e-02
2.511886431510e-01,1.00000000,6.309573444802e-02
2.585234839562e-01,1.00000000,6.683439175686e-02
2.660725059799e-01,1.00000000,7.079457843841e-02
2.738419634264e-01,1.00000000,7.498942093325e-02
2.818382931264e-01,1.00000000,7.943282347243e-02
2.900681198693e-01,1.00000000,8.413951416452e-02
2.985382618918e-01,1.00000000,8.912509381337e-02
3.072557365267e-01,1.00000000,9.440608762859e-02
3.162277660168e-01,1.00000000,1.000000000000e-01
3.254617834980e-01,1.00000000,1.059253725177e-01
3.349654391578e-01,1.00000000,1.122018454302e-01
3.447466065731e-01,1.00000000,1.188502227437e-01
3.548133892336e-01,1.00000000,1.258925411794e-01
3.651741272548e-01,1.00000000,1.333521432163e-01
3.758374042884e-01,1.00000000,1.412537544623e-01
3.868120546331e-01,1.00000000,1.496235656094e-01
3.981071705535e-01,1.00000000,1.584893192461e-01
4.097321098135e-01,1.00000000,1.678804018123e-01
4.216965034286e-01,1.00000000,1.778279410039e-01
4.340102636447e-01,1.00000000,1.883649089490e-01
4.466835921510e-01,1.00000000,1.995262314969e-01
4.597269885309e-01,1.00000000,2.113489039837e-01
4.731512589615e-01,1.00000000,2.238721138568e-01
4.869675251659e-01,1.00000000,2.371373705662e-01
5.011872336273e-01,1.00000000,2.511886431510e-01
5.158221650723e-01,1.00000000,2.660725059799e-01
5.308844442310e-01,1.00000000,2.818382931264e-01
5.463865498819e-01,1.00000000,2.985382618918e-01
5.623413251903e-01,1.00000000,3.162277660168e-01
5.787619883491e-01,1.00000000,3.349654391578e-01
5.956621435290e-01,1.00000000,3.548133892336e-01
6.130557921498e-01,1.00000000,3.758374042884e-01
6.309573444802e-01,1.00000000,3.981071705535e-01
6.493816315762e-01,1.00000000,4.216965034286e-01
6.683439175686e-01,1.00000000,4.466835921510e-01
6.878599123088e-01,1.00000000,4.731512589615e-01
7.079457843841e-01,1.00000000,5.011872336273e-01
7.286181745132e-01,1.00000000,5.308844442310e-01
7.498942093325e-01,1.00000000,5.623413251903e-01
7.717915155850e-01,1.00000000,5.956621435290e-01
7.943282347243e-01,1.00000000,6.309573444802e-01
8.175230379437e-01,1.00000000,6.683439175686e-01
8.413951416452e-01,1.00000000,7.079457843841e-01
8.659643233601e-01,1.00000000,7.498942093325e-01
8.912509381337e-01,1.00000000,7.943282347243e-01
9.172759353898e-01,1.00000000,8.413951416452e-01
9.440608762859e-01,1.00000000,8.912509381337e-01
9.716279515771e-01,1.00000000,9.440608762859e-01
1.000000000000e+00,1.00000000,1.000000000000e+00
1.029200527194e+00,1.00000000,1.059253725177e+00
1.059253725177e+00,1.00000000,1.122018454302e+00
1.090184492385e+00,1.00000000,1.188502227437e+00
1.122018454302e+00,1.00000000,1.258925411794e+00
1.154781984689e+00,1.00000000,1.333521432163e+00
1.188502227437e+00,1.00000000,1.412537544623e+00
1.223207119050e+00,1.00000000,1.496235656094e+00
1.258925411794e+00,1.00000000,1.584893192461e+00
1.295686697517e+00,1.00000000,1.678804018123e+00
1.333521432163e+00,1.00000000,1.778279410039e+00
1.372460961008e+00,1.00000000,1.883649089490e+00
1.412537544623e+00,1.00000000,1.995262314969e+00
1.453784385608e+00,1.00000000,2.113489039837e+00
1.496235656094e+00,1.00000000,2.238721138568e+00
1.539926526059e+00,1.00000000,2.371373705662e+00
1.584893192461e+00,1.00000000,2.511886431510e+00
1.631172909228e+00,1.00000000,2.660725059799e+00
1.678804018123e+00,1.00000000,2.818382931264e+00
1.727825980508e+00,1.00000000,2.985382618918e+00
1.778279410039e+00,1.00000000,3.162277660168e+00
1.830206106311e+00,1.00000000,3.349654391578e+00
1.883649089490e+00,1.00000000,3.548133892336e+00
1.938652635952e+00,1.00000000,3.758374042884e+00
1.995262314969e+00,1.00000000,3.981071705535e+00
2.053525026457e+00,1.00000000,4.216965034286e+00
2.113489039837e+00,1.00000000,4.466835921510e+00
2.175204034020e+00,1.00000000,4.731512589615e+00
2.238721138568e+00,1.00000000,5.011872336273e+00
2.304092976056e+00,1.00000000,5.308844442310e+00
2.371373705662e+00,1.00000000,5.623413251903e+00
2.440619068042e+00,1.00000000,5.956621435290e+00
2.511886431510e+00,1.00000000,6.309573444802e+00
2.585234839562e+00,1.00000000,6.683439175686e+00
2.660725059799e+00,1.00000000,7.079457843841e+00
