lambda3OverLambda2,determinantRatio,gapToSharpSupremum
52.079483285955,1.999276764783,0.000723235217
53.088444423099,1.999303735446,0.000696264554
54.116952654646,1.999329705143,0.000670294857
55.165386675956,1.999354710750,0.000645289250
56.234132519035,1.999378787801,0.000621212199
57.323583694677,1.999401970537,0.000598029463
58.434141337352,1.999424291946,0.000575708054
59.566214352901,1.999445783817,0.000554216183
60.720219569099,1.999466476773,0.000533523227
61.896581889126,1.999486400321,0.000513599679
63.095734448019,1.999505582889,0.000494417111
64.318118772151,1.999524051863,0.000475948137
65.564184941798,1.999541833629,0.000458166371
66.834391756861,1.999558953604,0.000441046396
68.129206905796,1.999575436275,0.000424563725
69.449107137812,1.999591305230,0.000408694770
70.794578438414,1.999606583194,0.000393416806
72.166116208339,1.999621292055,0.000378707945
73.564225445964,1.999635452898,0.000364547102
74.989420933246,1.999649086033,0.000350913967
76.442227425260,1.999662211025,0.000337788975
77.923179843419,1.999674846718,0.000325153282
79.432823472428,1.999687011262,0.000312988738
80.971714161056,1.999698722139,0.000301277861
82.540418526802,1.999709996190,0.000290003810
84.139514164520,1.999720849630,0.000279150370
85.769589859089,1.999731298082,0.000268701918
87.431245802207,1.999741356589,0.000258643411
89.125093813375,1.999751039641,0.000248960359
90.851757565169,1.999760361192,0.000239638808
92.611872812879,1.999769334680,0.000230665320
94.406087628592,1.999777973050,0.000222026950
96.235062639809,1.999786288765,0.000213711235
98.099471272688,1.999794293829,0.000205706171
100.000000000000,1.999801999802,0.000198000198
