sampleIndex,zeroChargeWeightExact,zeroChargeWeightDecimal,series,boundExact,boundDecimal,isCertifiedWeight,classification
3,103/200,0.51500000000000001332,s=1 bound,18892748415511654936642665175130454635287297697669339415759416452646887194535757578534432891728337692896600706496122960616455893475472888851069020707649835386857162682832772165403819662425630854846644622997574201219593001430187897790159642776269386561727215242611616791215886359951935864719271459741392327103097973202030629824935508361966661936098611762858092735740184317314927865458059773624948012186701458768477562281226323962051121013980150397/109291261232745592259322178637043727287232515023666665994312802825415418076973093089149655637857311926347238449621095006156465536905198855085167222379793351516193404180881583262973023417888755995979034398913138711877754817830112808274553911731773886649104854255714796042159951926074622296262031428134489219814846823218518095705183157395623538832296617329120635986328125000000000000000000000000000000000000000000000000000000000000000000000000000000,0.17286604804823182957,false,presentation sample of explicit rational formula
3,103/200,0.51500000000000001332,finite s=162,57255587358321065787525506926060588606021537392695752055568692349666233091806525661725068073404427828328181186804334253728410680176813564557801173702378883872370401782866595982926188281727058752186080877655002123674481360589327345473645759912413646223240135840209374086332970531175694582960099471282419736931256564642565567779405227701137448611355134800115971510652022570954428949739697103658748636470339988724545029786950479962446931015166195898396289389911159032258224773563/57531461884783645840742275034445825075672618089262716773135183641949286560918930596358741857785846563823117738532522542979933615616938366896189504828380300794111388160634241270765788329951227854504418534904277362156660554621137259109732007748069498730387587512564685698990064713792411464399129585644599620120526583081408292146777287430271200714056576519168543582330443975081379903713241219520568847656250000000000000000000000000000000000000000000000000000000000000000000000000,0.99520480590228932449,false,presentation sample of explicit rational formula
3,103/200,0.51500000000000001332,large s>=241,35621302574141522476514086514555845865011309292375962550556181995006247320423486817725349549415147067704785383355020358554845791659457100906618154475887083922068313467940871859916705397622257126936306908630869708214872770072606421023438038656573811599046998462094773197968001197866542292549606537604892238624603464445414150949544409032497231153925038765192206467178496168004598518558689736343263497585614904527909/35703188705530986676054768429784781383296182954327043710176839244063412486943469936545232441708400143427638244519573030707477486321868944028980735041984657958103719682156177023215666881288964186881865307792231060040630005986327463339003867611923655004322327196369839981933522528476460644050678771080353790523531642975285649299621582031250000000000000000000000000000000000000000000000000000000000000000000000000000,0.99770647568583203935,false,presentation sample of explicit rational formula
3,103/200,0.51500000000000001332,complete envelope,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1167121594551619473399136296655112323536506070021730934844665387191841427156827075560257373586655588911277843461923224574247727803133644585629611910958405293857047176443687110344177318121612268665830690042698733161513159866951003624714687561234659513955409285144813671410667088590429329997277818620204925537109375000000000000000000000000000000000000000000000000000000000000000000000000000,1.1166136876711967307,false,presentation sample of explicit rational formula
4,13/25,0.52000000000000001776,s=0 endpoint,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1178452872168625487703982280117783316968899332837475895377137866679140858488446755905502590805943507250222288544077818987589938752678631426266792609123050005447892294661586985201887777520851222730547492858647264551430763360804896863789587440469947470401578307330685648803003662266064566210843622684478759765625000000000000000000000000000000000000000000000000000000000000000000000000000000,1.1058770175974352856,false,presentation sample of explicit rational formula
4,13/25,0.52000000000000001776,s=-1 endpoint,442163454416205638017652470119708750230308282083010134394222483604534145719895418204656013823075554237503242228728968898904320951996019577305078974735324580851443276708013324546301470643888321095910807197240220767973563766566613017908514005917789213688513730100430071419767876704070156946306714175662596491422128153920610221860275189178772572209612851911292036580327989713857049286500282904556454419098427535543051076185367190199061403791939531/466556477373166517602639673788956563014067110096568989147222585317480663217183961276007008300833683219718242377528696515943858531783312084031578057756964032205079681688427999352569652252477658349635324594497557791297272537814106440202245614562235690440176902742676579861667502644406018132191031085446949369133735508905469187377473838651553705858532339334487915039062500000000000000000000000000000000000000000000000000000000000000000000000000000,0.94771689143766713048,false,presentation sample of explicit rational formula
4,13/25,0.52000000000000001776,s=1 bound,18962705539332373427073881556803720769798324898946495787013891713339161781815959928179558851346591764477668358005883833107762557045732080723303518638956240127038030793891235143850893608471407532723204777735359440596610611060034219216383312977972591854651612426752301787596207856411948596858047168496713375504323247226492697374384589642828996920947111332101813402774028246782381665187567588851499595111461995910087562559985331316844351349980150397/109291261232745592259322178637043727287232515023666665994312802825415418076973093089149655637857311926347238449621095006156465536905198855085167222379793351516193404180881583262973023417888755995979034398913138711877754817830112808274553911731773886649104854255714796042159951926074622296262031428134489219814846823218518095705183157395623538832296617329120635986328125000000000000000000000000000000000000000000000000000000000000000000000000000000,0.17350614610393763626,false,presentation sample of explicit rational formula
4,13/25,0.52000000000000001776,finite s=162,57255587358321065787525506926060588606021537392695752055568692349666233091806525661725068073404427828328181186804334253728410680176813564557801173702378883872370401782866595982926188281727058752186080877655002123674481360589327345473645759912413646223240135840209374086332970531175694582960099471282419736931256564642565567779405227701137448611355134800115971510652022570954428949739697103658748636470339988724545029786950479962446931015166195898396289389911159032258224773563/57531461884783645840742275034445825075672618089262716773135183641949286560918930596358741857785846563823117738532522542979933615616938366896189504828380300794111388160634241270765788329951227854504418534904277362156660554621137259109732007748069498730387587512564685698990064713792411464399129585644599620120526583081408292146777287430271200714056576519168543582330443975081379903713241219520568847656250000000000000000000000000000000000000000000000000000000000000000000000000,0.99520480590228932449,false,presentation sample of explicit rational formula
4,13/25,0.52000000000000001776,large s>=241,35621302574141522476514086514555845865011309292375962550556181995006247320423486817725349549415147067704785383355020358554845791659457100906618154475887083922068313467940871859916705397622257126936306908630869708214872770072606421023438038656573811599046998462094773197968001197866542292549606537604892238624603464445414150949544409032497231153925038765192206467178496168004598518558689736343263497585614904527909/35703188705530986676054768429784781383296182954327043710176839244063412486943469936545232441708400143427638244519573030707477486321868944028980735041984657958103719682156177023215666881288964186881865307792231060040630005986327463339003867611923655004322327196369839981933522528476460644050678771080353790523531642975285649299621582031250000000000000000000000000000000000000000000000000000000000000000000000000000,0.99770647568583203935,false,presentation sample of explicit rational formula
4,13/25,0.52000000000000001776,complete envelope,1303223947652971129004140296730900016603433717868391126956325415179319899033423612753343371844591039986717140487793751041069640344204419998870036294654121520624748689404294609594474402300382616160931376727144610317750970464962860835668330206569333317726900520753068935094675629151333785092444759187527011696975535348179725269374626746674643936467064809352539161516853833809032729061736347/1178452872168625487703982280117783316968899332837475895377137866679140858488446755905502590805943507250222288544077818987589938752678631426266792609123050005447892294661586985201887777520851222730547492858647264551430763360804896863789587440469947470401578307330685648803003662266064566210843622684478759765625000000000000000000000000000000000000000000000000000000000000000000000000000000,1.1058770175974352856,false,presentation sample of explicit rational formula
